frequency,SETF_L2_norm_flow_time,SETF_maximum_flow_time,SETF_longest_H_L2_norm
2,2274096.823404,198350.000000,167.502239
4,3097375.079151,248768.000000,26983.929940
8,6705319.036177,300647.000000,209714.084348
16,5215009.081534,295193.000000,405.510789
32,4841436.486278,296461.000000,145841.345691
64,7286842.254784,296021.000000,636764.347165
128,7369555.744767,299862.000000,70310.655487
256,7516161.948851,301600.000000,238585.984247
512,7390289.057443,300983.000000,1065615.517820
1024,7523259.697532,295908.000000,600148.538344
2048,8248918.106161,304612.000000,3311872.819246
4096,9355068.592776,304104.000000,3198023.945300
8192,4335758.450927,239927.000000,2138963.333856
16384,6770101.275452,243825.000000,3143993.215272
32768,5419416.298209,303158.000000,3675270.925973
65536,4976941.243341,303686.000000,4168967.642331
