frequency,SETF_L2_norm_flow_time,SETF_maximum_flow_time,SETF_longest_H_L2_norm
2,5566745.092758,298833.000000,134.803561
4,5548533.689264,308116.000000,17448.938908
8,4643223.540194,300841.000000,188.941790
16,6471514.254769,296394.000000,265423.008430
32,5996012.918142,292200.000000,261507.774410
64,5352210.243054,280200.000000,148362.280884
128,7411110.198239,307888.000000,289322.321669
256,8095944.972456,302980.000000,468091.771810
512,6856585.926168,304225.000000,390833.789125
1024,7463899.219076,303263.000000,524719.399301
2048,8352922.941461,300757.000000,409974.251578
4096,6216056.301801,253571.000000,1512648.172341
8192,8024035.483073,259021.000000,5201392.693074
16384,4391502.656973,166644.000000,3253900.280013
32768,12018474.191415,305586.000000,10946075.956475
65536,5951551.000795,193213.000000,5584880.909441
