frequency,SETF_L2_norm_flow_time,SETF_maximum_flow_time,SETF_longest_H_L2_norm
2,25198865.991184,553767.000000,0.000000
4,24818575.770618,544326.000000,0.000000
8,25257875.573229,550097.000000,0.000000
16,25207775.638398,551103.000000,0.000000
32,24861605.333626,546300.000000,0.000000
64,25686382.270749,554773.000000,0.000000
128,24599507.302188,537639.000000,0.000000
256,25607822.801064,547531.000000,0.000000
512,26087607.323614,557336.000000,0.000000
1024,24993540.685037,548883.000000,0.000000
2048,25477112.731721,544350.000000,0.000000
4096,23236219.627367,509538.000000,0.000000
8192,28569495.838138,584921.000000,0.000000
16384,21265370.713055,485620.000000,0.000000
32768,24941836.728374,537092.000000,0.000000
65536,12640122.578236,343431.000000,0.000000
