frequency,SETF_L2_norm_flow_time,SETF_maximum_flow_time,SETF_longest_H_L2_norm
2,2053488.802916,154508.000000,26178.669600
4,3168505.614440,232018.000000,62.880840
8,50876950.361948,897839.000000,1371296.677391
16,31713500.793710,604009.000000,212627.011762
32,5724474.802060,304410.000000,365898.774889
64,51229611.679440,896560.000000,2421070.568401
128,32151230.290033,606580.000000,2421272.387247
256,51235187.864732,898778.000000,3910077.916251
512,31777320.860141,601628.000000,4786775.918069
1024,51351277.001696,899660.000000,8617877.553370
2048,31820523.378353,604833.000000,4703652.124008
4096,8449763.822855,293408.000000,1035854.374915
8192,8662997.717117,275188.000000,3728999.077976
16384,50286259.242585,903249.000000,17140381.614315
32768,8299583.353942,278071.000000,5726803.338021
65536,53466802.442575,900538.000000,51900340.208853
