frequency,SETF_L2_norm_flow_time,SETF_maximum_flow_time
2,23618937.158810,578287.000000
4,27713677.825977,669683.000000
8,22601487.170426,577560.000000
16,414998.661800,173745.000000
32,992930.088506,302486.000000
64,43856794.162195,916054.000000
128,24634034.214696,598691.000000
256,843144.925034,347325.000000
512,24144275.928252,559318.000000
1024,945488.437421,314315.000000
2048,40950228.290049,868966.000000
4096,261232.219140,160456.000000
8192,57351075.673191,1017094.000000
16384,531433.532785,137905.000000
32768,43372733.126059,886676.000000
65536,15613255.162697,586273.000000
