frequency,SJF_L2_norm_flow_time,SJF_maximum_flow_time,SJF_longest_H_L2_norm
2,129070.611624,76027.000000,2462.739735
4,185860.302919,102371.000000,719.564452
8,454675.427122,68485.000000,64531.002355
16,191408.014174,75728.000000,1698.587060
32,348337.764642,189242.000000,3983.141097
64,665912.212099,184249.000000,197.585425
128,507114.184572,251333.000000,23769.844636
256,257166.905876,122515.000000,5328.133350
512,522451.794518,147773.000000,4792.430907
1024,167337.771692,87890.000000,10116.155100
2048,1296391.203386,265777.000000,66175.504622
4096,137228.356173,47786.000000,15639.583179
8192,1050722.987539,245171.000000,286773.996715
16384,345749.928344,171089.000000,119622.611195
32768,1086712.847938,210970.000000,553850.785217
65536,1372539.553115,273815.000000,1123245.029195
