frequency,SJF_L2_norm_flow_time,SJF_maximum_flow_time,SJF_longest_H_L2_norm
2,157942.958675,73308.000000,67.409198
4,167870.004146,55575.000000,1070.848262
8,374070.045001,99467.000000,755.267502
16,304270.616135,139045.000000,163.731488
32,194920.755042,70916.000000,219.519931
64,276055.937071,155527.000000,19896.273797
128,263536.431508,144129.000000,4933.267274
256,223474.275240,118539.000000,27333.334063
512,649234.766011,240917.000000,53518.392296
1024,468951.751644,218822.000000,60755.579390
2048,221247.754642,88766.000000,22061.985609
4096,268395.319126,99435.000000,57341.171701
8192,282343.311780,80407.000000,122343.862686
16384,1821195.262935,217355.000000,657083.606813
32768,732029.491401,76545.000000,83938.502226
65536,2168528.723940,272169.000000,1074247.190300
