frequency,SJF_L2_norm_flow_time,SJF_maximum_flow_time,SJF_longest_H_L2_norm
2,158155.151323,58611.000000,269.365922
4,459333.420817,249001.000000,20336.144964
8,99759.272922,32268.000000,171.201636
16,380041.025028,239805.000000,390.957798
32,1161146.109993,272687.000000,1361.225918
64,288875.272324,81036.000000,648.241467
128,400571.887000,226717.000000,557.936376
256,1338749.195225,238140.000000,176907.169499
512,1236912.601439,153637.000000,33702.854479
1024,569972.469578,294427.000000,39994.462579
2048,252895.804439,170382.000000,31171.532381
4096,345557.718749,258228.000000,62914.652951
8192,423045.079798,174645.000000,180288.588322
16384,263365.267196,157505.000000,154720.566661
32768,860979.987028,261369.000000,724849.076305
65536,433104.780307,263024.000000,0.000000
