frequency,SJF_L2_norm_flow_time,SJF_maximum_flow_time,SJF_longest_H_L2_norm
2,799620.848269,295536.000000,11177.464874
4,360377.399824,140052.000000,84.557673
8,379215.483135,33527.000000,563.073707
16,299323.184695,48950.000000,5406.537062
32,588501.453245,80101.000000,1573.233295
64,345878.645794,119531.000000,7241.521525
128,673990.235915,228967.000000,2735.132721
256,246676.921263,55429.000000,891.557065
512,6702810.645876,258818.000000,13462.253935
1024,324003.053086,166477.000000,14213.661668
2048,8073744.410070,326043.000000,2638.325416
4096,3485281.193853,169280.000000,862293.529511
8192,1003684.561064,83984.000000,19251.575260
16384,344908.716237,60732.000000,58726.595040
32768,235248.965411,117844.000000,40861.643946
65536,438585.082923,232381.000000,71937.073745
