frequency,SJF_L2_norm_flow_time,SJF_maximum_flow_time,SJF_longest_H_L2_norm
2,324257.643019,179167.000000,101.400197
4,367509.840991,229894.000000,410.733490
8,246432.663754,108000.000000,175.758357
16,105782.828819,34416.000000,636.916007
32,522571.919468,246518.000000,7152.872780
64,332485.983270,200103.000000,1007.425431
128,331345.559886,121438.000000,8171.271994
256,367149.412379,232088.000000,6741.128392
512,469044.505335,286748.000000,23717.777425
1024,277006.979499,96792.000000,23236.792873
2048,403516.088041,130441.000000,65162.777151
4096,772199.838132,282636.000000,539266.975263
8192,294951.363230,91684.000000,21870.554040
16384,822346.181756,221029.000000,321268.876133
32768,793837.369854,254969.000000,405519.776096
65536,1066051.320113,207735.000000,256182.221936
