frequency,SJF_L2_norm_flow_time,SJF_maximum_flow_time,SJF_longest_H_L2_norm
2,63162.961291,11382.000000,218.846979
4,160845.409350,84991.000000,47.791213
8,156836.081066,23565.000000,378.532693
16,738063.054890,91374.000000,79693.309255
32,246173.433294,99697.000000,219.772610
64,407542.335034,251543.000000,678.320721
128,132427.279943,37520.000000,12693.281766
256,89512.136060,17242.000000,1202.674520
512,432877.028251,224080.000000,49301.730801
1024,608081.358301,104650.000000,31842.431785
2048,1388447.039765,117918.000000,13757.045686
4096,359901.268825,201937.000000,45970.302751
8192,373027.449380,137806.000000,30117.472769
16384,989871.731560,191743.000000,802649.221277
32768,625000.864394,209238.000000,528142.129814
65536,357843.090854,41045.000000,0.000000
