frequency,SJF_L2_norm_flow_time,SJF_maximum_flow_time,SJF_longest_H_L2_norm
2,124714.024929,30000.000000,129.726636
4,517980.375648,205064.000000,117.592517
8,303534.644611,214371.000000,958.868604
16,339102.693157,138009.000000,370.063508
32,371289.296572,225772.000000,1078.806285
64,325800.331237,127227.000000,3274.381468
128,446057.295610,194386.000000,7275.043368
256,1071547.043665,278034.000000,9251.525766
512,468649.905046,175406.000000,150807.712538
1024,635626.828423,241882.000000,110729.736571
2048,641999.950167,253503.000000,191993.517219
4096,360368.293754,93883.000000,147934.251754
8192,251472.826236,125216.000000,159658.183827
16384,838798.344397,291014.000000,214931.894441
32768,435492.851079,185899.000000,365320.905697
65536,294418.327609,87531.000000,0.000000
