frequency,SJF_L2_norm_flow_time,SJF_maximum_flow_time,SJF_longest_H_L2_norm
2,116577.344450,58654.000000,5480.340774
4,224840.697744,70446.000000,170.842032
8,604697.884042,240458.000000,980.002041
16,160051.289089,67749.000000,646.372957
32,257685.091193,138949.000000,1948.224833
64,506900.367552,264399.000000,642.187667
128,197645.841765,129012.000000,6702.469172
256,204366.589150,111166.000000,2173.356160
512,412620.209752,239613.000000,2798.041815
1024,294051.487004,74506.000000,11267.628588
2048,309477.497812,160230.000000,127650.073580
4096,176839.829430,67371.000000,50787.500795
8192,286533.879939,134676.000000,17893.040099
16384,942902.079808,253333.000000,705162.107867
32768,291057.859743,130105.000000,216543.701649
65536,1116114.665449,248134.000000,1086661.499188
