frequency,SJF_L2_norm_flow_time,SJF_maximum_flow_time,SJF_longest_H_L2_norm
2,261736.321646,134816.000000,683.094430
4,136660.934685,57735.000000,192.841904
8,188671.019163,58278.000000,2368.362726
16,386158.461808,227317.000000,1106.162737
32,284152.641469,127603.000000,288.421566
64,555327.869692,251859.000000,3329.787981
128,272128.423335,178915.000000,3388.224756
256,278665.600782,129511.000000,159176.659630
512,442142.261842,287393.000000,23924.501917
1024,319876.042293,190870.000000,69015.231804
2048,492213.290328,240160.000000,59735.962184
4096,252881.461958,174186.000000,51770.230529
8192,815301.160449,236615.000000,274066.114213
16384,215732.421328,68596.000000,169759.736033
32768,416436.496614,182245.000000,184149.341240
65536,861168.486443,246161.000000,607187.470204
