frequency,SJF_L2_norm_flow_time,SJF_maximum_flow_time,SJF_longest_H_L2_norm
2,119248.745335,29242.000000,199.000000
4,314337.639690,75797.000000,799.531113
8,380698.046861,64598.000000,1391.152759
16,537391.969771,168794.000000,640.453745
32,352707.991045,155936.000000,152.292482
64,129288.161299,41160.000000,2499.795392
128,211008.687978,155799.000000,1257.365897
256,297160.481134,124254.000000,4773.170225
512,195209.485658,65434.000000,5465.022598
1024,179053.134697,77749.000000,9741.643598
2048,399781.031702,162532.000000,58225.099863
4096,230633.983543,78388.000000,25645.376737
8192,1316703.206253,162926.000000,915312.139493
16384,695413.470063,288098.000000,213887.663232
32768,898697.664198,200129.000000,256701.489236
65536,2011714.523145,213554.000000,1856380.814200
