Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,SJF_L2_norm_flow_time,SJF_maximum_flow_time
36,4.073000,262144.000000,287469.893674,31611.000000
36,4.639000,32768.000000,215153.868383,28059.000000
36,5.649000,4096.000000,89448.413368,26833.000000
36,7.918000,512.000000,31483.246497,9449.000000
36,16.772000,64.000000,27156.379435,7393.000000
36,30.000000,6.000000,20220.176433,4271.000000
36,30.000000,9.000000,21190.220999,6601.000000
36,30.000000,12.000000,25571.186441,4525.000000
36,30.000000,15.000000,22057.913229,3731.000000
36,30.000000,18.000000,26586.400715,5811.000000
