frequency,SJF_L2_norm_flow_time,SJF_maximum_flow_time,SJF_longest_H_L2_norm
2,1434997.391911,286150.000000,140.644943
4,1537648.964420,296803.000000,1520.171701
8,1388157.542101,278510.000000,76.694198
16,2136593.391826,302991.000000,171139.731439
32,2480833.135074,297619.000000,1676.811260
64,1080094.995899,212215.000000,27206.059656
128,2616000.101914,302260.000000,232623.041524
256,2545137.811347,298481.000000,126373.851358
512,2834365.192733,304257.000000,425892.171574
1024,2339066.954416,298510.000000,411849.618375
2048,1483197.404376,285686.000000,480190.397634
4096,1962138.762381,297132.000000,509775.573990
8192,3096583.700579,252488.000000,950384.146830
16384,1610293.947708,256908.000000,556385.235430
32768,2467212.032563,286172.000000,714821.900787
65536,3629965.010646,299810.000000,1670936.208186
