frequency,SJF_L2_norm_flow_time,SJF_maximum_flow_time,SJF_longest_H_L2_norm
2,713902.595290,134101.000000,38996.559835
4,1461986.318072,282426.000000,102.342562
8,1293282.867098,255927.000000,103.029122
16,2353063.793007,291867.000000,4271.888224
32,2027884.319100,287680.000000,18576.125888
64,2319731.432989,264367.000000,24551.637338
128,3011181.526862,299653.000000,525592.322070
256,3072611.163305,304181.000000,192099.343950
512,3052570.247858,285719.000000,159922.628849
1024,2030065.735619,304532.000000,529586.420433
2048,3373181.221970,306249.000000,301245.454019
4096,3152349.763321,294423.000000,573516.635703
8192,3462534.394277,293995.000000,938391.344900
16384,2799779.910687,230567.000000,1929943.395914
32768,797188.047853,146819.000000,454447.944533
65536,6773551.390355,305804.000000,6481032.064617
