frequency,SJF_L2_norm_flow_time,SJF_maximum_flow_time,SJF_longest_H_L2_norm
2,2354200.975096,289472.000000,45.110974
4,1386183.479425,279921.000000,313.949040
8,1883402.079796,288192.000000,467.268659
16,2142628.189735,293152.000000,7484.323082
32,1332535.553504,298713.000000,2020.441041
64,2076024.466586,255566.000000,3380.239784
128,2377030.840318,278251.000000,244151.719398
256,2004028.483670,286910.000000,188719.237162
512,2636844.487366,301924.000000,385058.393392
1024,2551333.857766,305093.000000,459565.444838
2048,3280040.457647,304968.000000,361320.801080
4096,4106714.531137,296892.000000,2044531.882102
8192,3593052.944579,276028.000000,666207.296637
16384,4290170.805506,276844.000000,1240320.792786
32768,2222002.534445,162918.000000,2138835.334383
65536,771293.568298,83964.000000,0.000000
