frequency,SJF_L2_norm_flow_time,SJF_maximum_flow_time,SJF_longest_H_L2_norm
2,1595124.677469,291182.000000,105.621967
4,1904415.027026,283418.000000,493.450099
8,2676695.051596,306558.000000,171.224998
16,1115205.875815,256201.000000,114.904308
32,1974153.007215,300508.000000,257077.702697
64,2180710.025010,272879.000000,619.894346
128,2374111.915135,295374.000000,162907.003082
256,2689741.653162,287771.000000,205898.394950
512,3124851.965689,301857.000000,589039.352463
1024,2133129.601773,306306.000000,255742.647089
2048,2246008.064513,259891.000000,658272.952152
4096,4034203.575698,298009.000000,799467.730579
8192,2304421.111670,303372.000000,918389.709028
16384,1835094.338685,178340.000000,261085.395459
32768,4408336.110988,297947.000000,2227364.933828
65536,2273591.938557,294438.000000,1856311.960033
