frequency,SJF_L2_norm_flow_time,SJF_maximum_flow_time,SJF_longest_H_L2_norm
2,1435646.416477,276846.000000,124.209500
4,2220720.554886,284074.000000,1080.057869
8,1849681.585327,258861.000000,190.509842
16,1749656.367793,295818.000000,722.329565
32,2372344.317777,298530.000000,233.533723
64,2676128.255702,301248.000000,433.042723
128,2068356.708568,292938.000000,97955.565135
256,2493129.035906,299758.000000,33862.002938
512,2577007.225317,296161.000000,42802.590179
1024,3257219.163699,292756.000000,401995.730192
2048,2336506.305855,275227.000000,284631.212566
4096,4884540.605890,295736.000000,915227.352067
8192,1842828.847172,189354.000000,700397.481118
16384,1183692.007861,119059.000000,214174.045680
32768,4299056.134113,301037.000000,2116875.896230
65536,3298681.939179,282977.000000,2401827.052117
