frequency,SJF_L2_norm_flow_time,SJF_maximum_flow_time,SJF_longest_H_L2_norm
2,1505534.241448,287778.000000,56.586217
4,585927.695854,126743.000000,42.638011
8,2262424.211179,282630.000000,120.900786
16,2065742.809838,292795.000000,77509.850426
32,2256698.117824,284795.000000,391.526500
64,2835367.347926,297543.000000,6425.435939
128,3423222.517842,297444.000000,76652.660711
256,3019762.005301,296984.000000,435135.232477
512,1517699.494575,261959.000000,415639.418992
1024,3322593.843635,288237.000000,781987.746079
2048,2257059.483133,292246.000000,304250.705927
4096,649177.778644,114358.000000,75371.016969
8192,2469767.319810,300032.000000,870067.261809
16384,2215721.899692,246406.000000,1535141.848173
32768,1598481.302937,159851.000000,1144521.607533
65536,2289790.141056,284571.000000,0.000000
