frequency,SJF_L2_norm_flow_time,SJF_maximum_flow_time,SJF_longest_H_L2_norm
2,427097.976833,122863.000000,8715.898749
4,1745960.012182,238973.000000,41.182521
8,1689927.183936,302748.000000,195.381678
16,2211825.463381,301247.000000,27606.127001
32,2097743.457755,283746.000000,26346.032054
64,3093656.177678,296653.000000,2770.808907
128,2310308.489689,294523.000000,238306.844020
256,2905763.975680,303455.000000,140122.419038
512,2762795.640692,300693.000000,9247.276031
1024,2888883.251453,305872.000000,423146.225345
2048,1600581.995520,279430.000000,219103.552742
4096,1705133.270643,159726.000000,654261.468489
8192,3650813.764424,288472.000000,1758363.133092
16384,4359182.218468,298489.000000,2809317.943944
32768,2438419.447785,226647.000000,1715828.363827
65536,3678712.999950,246416.000000,3116460.547631
