frequency,SJF_L2_norm_flow_time,SJF_maximum_flow_time,SJF_longest_H_L2_norm
2,375358.631972,80623.000000,3002.092270
4,1521319.482430,296950.000000,12060.831273
8,1013388.800476,273597.000000,655.456330
16,1274130.942711,297104.000000,186.282044
32,1605716.394100,270180.000000,989.323506
64,3082492.778008,296406.000000,403850.725147
128,2949393.081356,299067.000000,72119.944918
256,1453264.832574,298071.000000,29696.260017
512,2722573.248144,303668.000000,499426.904546
1024,728858.089412,101539.000000,179774.519040
2048,2489517.514055,261242.000000,1204319.813278
4096,3581054.472347,292301.000000,1024204.438276
8192,3529303.738361,293275.000000,153005.840607
16384,2903713.980940,269312.000000,2521831.879367
32768,1235509.326692,131742.000000,886762.846916
65536,5934693.206003,242513.000000,5754958.031084
