frequency,SJF_L2_norm_flow_time,SJF_maximum_flow_time,SJF_longest_H_L2_norm
2,1896485.038348,298684.000000,130.522029
4,2603067.133794,280757.000000,94.736477
8,858044.667704,276223.000000,128.374452
16,2297304.554651,279600.000000,273.629311
32,2884633.455121,278423.000000,777.397582
64,2525968.519750,288952.000000,39985.086732
128,2566062.496943,238446.000000,269409.678700
256,2268260.527469,289230.000000,59170.158796
512,2806922.379159,282875.000000,229290.239555
1024,2934625.528104,304075.000000,146881.474826
2048,3718082.196123,296233.000000,1311083.226038
4096,2274142.093519,234730.000000,380328.614447
8192,3360112.171499,269471.000000,1250837.377697
16384,932178.468214,96151.000000,754130.680697
32768,895330.260826,118970.000000,0.000000
65536,2569944.902762,173319.000000,1698067.842051
