frequency,SJF_L2_norm_flow_time,SJF_maximum_flow_time,SJF_longest_H_L2_norm
2,14723394.141776,546696.000000,219029.029825
4,14158834.798990,539687.000000,420273.434344
8,14331566.543282,541266.000000,199631.401127
16,14770454.464075,542511.000000,312210.569546
32,14138749.890943,532659.000000,553725.655938
64,14556372.605575,545153.000000,785150.882419
128,14220923.996022,539553.000000,779500.711122
256,14197550.162526,529744.000000,1764879.251602
512,15380924.633711,556446.000000,540369.093141
1024,14069392.944166,513314.000000,1413724.372320
2048,15561950.308362,554627.000000,1658065.074012
4096,16378127.982074,569720.000000,7138719.562086
8192,11223405.503626,443505.000000,3542850.666229
16384,12712384.578765,476368.000000,7917191.520497
32768,13537749.264661,456493.000000,9753829.943009
65536,16482032.494154,513666.000000,1177673.196881
