frequency,SJF_L2_norm_flow_time,SJF_maximum_flow_time
2,9962247.432229,566581.000000
4,9983759.905307,535013.000000
8,9887943.252505,522934.000000
16,10101068.894930,529794.000000
32,9707657.488118,540016.000000
64,10558876.851038,562191.000000
128,9319200.379014,559462.000000
256,9807162.787799,509941.000000
512,9541927.887903,503176.000000
1024,10048706.330512,534237.000000
2048,10908932.062181,541249.000000
4096,9901468.645479,519753.000000
8192,9622818.112239,578069.000000
16384,9145606.195891,458986.000000
32768,10051844.756824,522395.000000
65536,15737891.542425,465682.000000
