frequency,SJF_L2_norm_flow_time,SJF_maximum_flow_time
2,20173563.181224,755617.000000
4,20705073.110054,802869.000000
8,20543496.794183,865487.000000
16,20109286.855317,816439.000000
32,379858.928630,213495.000000
64,20724331.177463,1018105.000000
128,10694601.159504,632809.000000
256,122471.667189,31984.000000
512,20985452.235119,775273.000000
1024,1452226.720527,255682.000000
2048,22452462.623488,831450.000000
4096,27058215.358286,845652.000000
8192,6701328.352630,587165.000000
16384,383935.521287,59891.000000
32768,349312.281128,50250.000000
65536,22320692.566504,594982.000000
