frequency,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time,SRPT_longest_H_L2_norm
2,143824.204197,76606.000000,72.512068
4,107532.423152,69561.000000,15.588457
8,220755.507571,207123.000000,48.682646
16,362318.478621,261515.000000,111.359777
32,330485.338151,258199.000000,285.597619
64,299388.780060,263015.000000,157.930364
128,268858.957290,230137.000000,579.623153
256,180644.373270,114602.000000,1108.296892
512,424397.739483,296451.000000,750.664372
1024,551683.495514,241925.000000,203204.621936
2048,109405.771914,61401.000000,12834.184431
4096,155760.713522,100914.000000,23482.767001
8192,341888.536961,197122.000000,36811.076404
16384,207418.731558,97076.000000,154221.625111
32768,139175.800303,86742.000000,17804.793989
65536,470043.521184,117076.000000,382512.590551
