frequency,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time,SRPT_longest_H_L2_norm
2,383796.270631,242703.000000,33.526109
4,166601.672243,101588.000000,13.000000
8,490871.817588,272441.000000,133.835720
16,509104.370839,286666.000000,66.603303
32,392966.485769,239461.000000,166.685332
64,421064.615457,194739.000000,267.955220
128,735408.899015,274724.000000,1349.441366
256,749938.046606,301099.000000,12816.249920
512,916149.228628,270455.000000,274010.249560
1024,772011.671920,273866.000000,37005.005175
2048,590806.488109,220305.000000,21947.321158
4096,313074.490127,158084.000000,26201.842989
8192,1465277.931858,292290.000000,1044688.691555
16384,1483058.509747,245129.000000,644934.871971
32768,1189080.118538,294383.000000,1021235.480027
65536,2514912.227565,234322.000000,2407449.512898
