frequency,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time,SRPT_longest_H_L2_norm
2,259921.512257,246382.000000,33.852622
4,167929.189925,115835.000000,1265.191685
8,49733.228831,20610.000000,37.762415
16,361975.312313,358131.000000,24.269322
32,486991.496337,267226.000000,83.737686
64,168147.882086,112584.000000,1172.336556
128,338921.050069,301927.000000,549.340514
256,119773.799614,91360.000000,1531.133240
512,204427.373876,146056.000000,20084.057907
1024,337982.123092,268238.000000,2190.076939
2048,327573.554981,295524.000000,7932.322043
4096,206110.968284,152214.000000,6196.435508
8192,185567.428977,103531.000000,167981.326444
16384,435973.121717,310163.000000,284553.841879
32768,92815.340133,32910.000000,19962.969819
65536,370154.940686,255829.000000,242832.831368
