frequency,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time,SRPT_longest_H_L2_norm
2,101235.366241,69489.000000,55.172457
4,307250.581264,119478.000000,126.190332
8,393008.709124,149805.000000,328.873836
16,491393.779347,264021.000000,342.972302
32,805381.569828,271972.000000,135.048140
64,317086.087678,193663.000000,1698.694793
128,633336.577529,286900.000000,354.523624
256,352466.913097,245165.000000,1708.894965
512,599758.777129,275509.000000,18386.596232
1024,183069.731747,115195.000000,7482.355378
2048,632669.118304,273595.000000,127822.017360
4096,541180.354834,220408.000000,109752.256095
8192,583218.884869,143782.000000,428490.241906
16384,226731.012543,93813.000000,153346.741107
32768,660666.349222,190761.000000,307936.396468
65536,2045706.662272,248208.000000,2016439.663964
