frequency,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time,SRPT_longest_H_L2_norm
2,85577.991394,45402.000000,59.118525
4,414055.763933,288502.000000,50.149776
8,307032.654560,226391.000000,48.166378
16,334450.206720,147640.000000,444.635806
32,348465.590752,181525.000000,117.927944
64,88912.565231,56030.000000,189.230019
128,274631.838648,219654.000000,722.946748
256,238548.058181,140181.000000,20382.821861
512,489577.619669,302665.000000,2650.675386
1024,499099.067621,249342.000000,6857.129210
2048,405261.970860,213412.000000,21766.829788
4096,212416.408380,135911.000000,15305.805696
8192,273678.495134,69986.000000,20616.683875
16384,606663.129306,266318.000000,379669.283090
32768,977004.754384,213447.000000,502849.093001
65536,408878.690789,110169.000000,266844.680743
