frequency,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time,SRPT_longest_H_L2_norm
2,310802.208903,179857.000000,112.969022
4,258455.570609,136294.000000,26.419690
8,350923.534226,231958.000000,49.071377
16,231687.901082,118823.000000,235.274308
32,614481.048311,288756.000000,395.794138
64,567400.982764,296244.000000,454.765874
128,610372.826953,272956.000000,3842.527163
256,1126215.632206,280172.000000,4263.862568
512,961752.377955,289824.000000,14047.563881
1024,891344.302626,241397.000000,17083.436657
2048,1243589.585286,281745.000000,30190.034101
4096,246419.967813,86734.000000,87255.863643
8192,420663.120241,94498.000000,80141.339139
16384,1557975.377438,252841.000000,464655.003724
32768,1345798.412676,236111.000000,476553.058406
65536,786805.182501,269146.000000,0.000000
