frequency,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time,SRPT_longest_H_L2_norm
2,733665.683337,285308.000000,98.818015
4,410660.863952,212884.000000,73.123184
8,327391.083632,159738.000000,123.640608
16,203684.029033,75666.000000,60.671245
32,778285.076191,229516.000000,499.428674
64,867498.027074,261454.000000,680.550512
128,1270562.011088,275228.000000,12367.626490
256,1035002.507721,294291.000000,21004.576358
512,713417.197386,176177.000000,9573.575717
1024,1601073.775177,297421.000000,25447.278656
2048,1750256.564358,291736.000000,212818.316028
4096,658345.760128,234461.000000,81187.479934
8192,3178038.480984,279302.000000,1848183.618727
16384,1254241.178017,237365.000000,817448.887556
32768,408172.047655,70815.000000,13706.130161
65536,1955448.834183,138282.000000,1943813.203367
