frequency,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time,SRPT_longest_H_L2_norm
2,408354.773941,324178.000000,53.244718
4,176388.529236,147709.000000,36.262929
8,244204.576020,158356.000000,112.004464
16,209425.621534,148401.000000,110.611934
32,144715.697867,97188.000000,368.380238
64,270971.916244,246883.000000,280.649247
128,212268.878195,125183.000000,2388.137559
256,244582.796392,215183.000000,901.899107
512,144998.964314,86617.000000,2123.250103
1024,259927.720536,140730.000000,37578.132271
2048,307945.543554,237285.000000,5387.277513
4096,125324.444870,60336.000000,84834.688442
8192,628142.875804,334136.000000,195056.646882
16384,272051.065177,80598.000000,173928.609820
32768,616894.641163,144238.000000,73031.285098
65536,474145.245212,247019.000000,471217.939227
