frequency,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time,SRPT_longest_H_L2_norm
2,290439.200455,252025.000000,112.853888
4,110511.756402,80117.000000,91.967386
8,239639.283190,180702.000000,225.530486
16,97783.606740,62134.000000,403.182341
32,185021.382318,121996.000000,64.552304
64,310329.997918,212797.000000,127.491176
128,450867.000686,221317.000000,2964.367049
256,281427.685124,145474.000000,6386.371505
512,425083.469236,263181.000000,7647.600539
1024,178116.342619,105509.000000,26168.829168
2048,680938.779318,224582.000000,116719.596392
4096,720438.957426,219908.000000,224894.926045
8192,523288.250323,252023.000000,205895.595072
16384,409426.160274,189749.000000,186557.462922
32768,387304.237856,107557.000000,146449.353860
65536,158952.859248,61834.000000,0.000000
