Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time
30,4.073000,262144.000000,205199.449943,157325.000000
30,4.639000,32768.000000,251238.732772,235590.000000
30,5.649000,4096.000000,545844.818847,308733.000000
30,7.918000,512.000000,223641.470282,83838.000000
30,16.772000,64.000000,1128413.820014,205026.000000
30,30.000000,6.000000,1620293.276376,253532.000000
30,30.000000,9.000000,1531135.629779,263932.000000
30,30.000000,12.000000,1372388.502436,299137.000000
30,30.000000,15.000000,2038642.638532,306055.000000
30,30.000000,18.000000,813837.894272,176643.000000
