frequency,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time,SRPT_longest_H_L2_norm
2,1392882.050399,298782.000000,451.433273
4,1421834.762973,257870.000000,107.345237
8,957869.010886,250468.000000,81.884064
16,1857150.546445,298023.000000,97.467943
32,2394815.258822,301346.000000,66.992537
64,2455124.894797,291838.000000,883.139853
128,2797285.318478,289194.000000,4141.635788
256,2535621.987764,306656.000000,134910.934297
512,2929741.803994,302391.000000,266091.670535
1024,2337050.022108,300226.000000,242838.691048
2048,878544.786026,145699.000000,70306.141844
4096,4097270.607418,291293.000000,505991.069120
8192,2971988.584021,253303.000000,2015275.732976
16384,2839874.961199,205162.000000,2256720.701926
32768,3308430.980564,281250.000000,1720148.954864
65536,2040505.920106,191498.000000,1996880.419859
