frequency,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time,SRPT_longest_H_L2_norm
2,1260357.941394,262267.000000,352.143437
4,1317955.316820,285227.000000,36.000000
8,463437.822771,99602.000000,468.321471
16,1875935.451221,287688.000000,103.884551
32,2010308.299314,293115.000000,81290.685340
64,2357959.151992,262233.000000,277.604035
128,2396956.653850,293820.000000,1972.952103
256,2646101.318781,285086.000000,179237.505570
512,2543790.193721,289154.000000,309313.417916
1024,2791735.415364,293803.000000,515087.652096
2048,2469818.002662,299797.000000,404474.268554
4096,3228133.229552,290386.000000,1139950.973540
8192,3616120.129845,273429.000000,727575.163519
16384,2298964.428424,247824.000000,460934.791161
32768,2944828.319657,258148.000000,1136902.717184
65536,3143446.858521,235979.000000,2859451.577654
