frequency,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time,SRPT_longest_H_L2_norm
2,942071.931525,254027.000000,1492.890150
4,1136426.964750,251128.000000,47.423623
8,1940096.098248,278498.000000,152.055911
16,2681365.517212,289149.000000,230.195569
32,2190284.503016,286520.000000,5744.324068
64,2134005.779442,298060.000000,27234.462469
128,2867657.236580,305119.000000,11503.663721
256,2271961.216154,298041.000000,259917.762790
512,3189730.521930,279658.000000,769580.410281
1024,2642041.200333,291940.000000,412191.919483
2048,3045640.336706,300932.000000,386852.479656
4096,4629646.197229,304159.000000,892590.877503
8192,3325306.262622,298591.000000,2016700.327599
16384,2969197.646910,199054.000000,1632821.254330
32768,1550542.852867,114486.000000,1094907.521028
65536,1203107.170819,104182.000000,932899.837260
