frequency,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time,SRPT_longest_H_L2_norm
2,748479.348153,247363.000000,140.435038
4,1222553.803134,188604.000000,12024.200888
8,2239045.484560,280381.000000,39669.737130
16,2427122.057115,293488.000000,117.728501
32,2233792.746592,291029.000000,28992.147351
64,2643345.092640,299762.000000,44758.365129
128,2912148.021350,297584.000000,37346.114550
256,2644941.739149,297095.000000,106792.471551
512,2563697.212045,281221.000000,276021.720576
1024,3407053.552424,295544.000000,147560.107512
2048,3003613.064614,280880.000000,410970.013349
4096,2037240.406953,300539.000000,195201.278556
8192,1080681.858537,156828.000000,473804.743696
16384,2798514.211067,303316.000000,1796654.351878
32768,5043466.367057,276526.000000,4657694.894210
65536,1382844.380225,145454.000000,1309838.676147
