frequency,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time,SRPT_longest_H_L2_norm
2,943552.211617,283441.000000,70.007142
4,1505117.710419,289199.000000,44.553339
8,1188382.556106,224411.000000,196.071416
16,2251386.167062,273928.000000,113368.816511
32,1456815.293274,292775.000000,1115.717706
64,2601688.164701,296938.000000,90511.655117
128,2944969.431046,292498.000000,239069.764533
256,2465998.902224,282600.000000,262808.776722
512,2626495.083437,291393.000000,429813.443479
1024,2642263.198424,288738.000000,283033.875510
2048,570251.257886,112994.000000,217338.070344
4096,3243050.077567,292403.000000,2213742.081158
8192,2966047.741080,292209.000000,1686162.961316
16384,2211595.684108,265468.000000,1602938.417634
32768,3266180.752346,257090.000000,2028880.973994
65536,1180245.112140,134116.000000,819930.127025
