frequency,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time,SRPT_longest_H_L2_norm
2,1644174.935953,302338.000000,134.829522
4,1517226.213911,300130.000000,240.006250
8,2263542.049514,299697.000000,153.746545
16,2406640.254392,284621.000000,2894.413930
32,2833160.675868,295476.000000,206.429165
64,2660207.650327,299320.000000,23180.558384
128,2847360.414851,288394.000000,7642.330993
256,3274772.519780,279264.000000,168045.876320
512,3470952.087777,297513.000000,301344.110385
1024,2625903.783711,241530.000000,340841.235657
2048,3671165.946246,301868.000000,402377.937314
4096,3315718.276113,296098.000000,1527401.887595
8192,3337129.948781,295788.000000,511473.797859
16384,2634215.808600,256387.000000,1476050.567560
32768,3090769.815811,276569.000000,2780709.890737
65536,1441634.229002,174387.000000,686963.769912
