frequency,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time,SRPT_longest_H_L2_norm
2,673252.254836,140056.000000,232.965663
4,1769601.573890,280647.000000,1412.445397
8,1765076.229904,251883.000000,3490.704943
16,2280807.712908,298383.000000,958.538471
32,2354888.583210,297879.000000,770.255802
64,2955497.271345,299629.000000,152011.878727
128,3097318.610988,296909.000000,256771.226242
256,3182833.680299,297297.000000,31540.070942
512,2031864.023150,296530.000000,27730.287900
1024,2900160.530849,293507.000000,264708.133564
2048,2964629.016886,295864.000000,644012.207408
4096,2660867.689655,290710.000000,325578.757570
8192,3778689.471193,282267.000000,1885874.246329
16384,2336118.281055,282376.000000,1419037.053653
32768,6287178.500447,301992.000000,4841164.893897
65536,593704.950849,117099.000000,0.000000
