frequency,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time,SRPT_longest_H_L2_norm
2,13918486.881394,541326.000000,19.416488
4,14652158.111337,553008.000000,159696.953099
8,14065625.177682,540744.000000,252178.292922
16,14581297.538971,532086.000000,366572.502051
32,15124955.989212,549157.000000,446314.794146
64,14148820.083130,542481.000000,953329.022141
128,14568882.991628,543720.000000,806504.156413
256,14883135.753030,556144.000000,665484.260026
512,14930517.842014,550765.000000,1105206.548256
1024,14603115.486905,525715.000000,4064439.042074
2048,14294041.057696,536746.000000,801798.385843
4096,16548957.591257,560228.000000,194144.159122
8192,15055347.998951,583272.000000,1430870.801107
16384,20062039.820931,606759.000000,374850.814828
32768,22741788.199894,659735.000000,14876173.878543
65536,19056472.300835,583476.000000,13473492.471295
