frequency,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time
2,9725437.009733,532791.000000
4,9315621.490620,494527.000000
8,9941885.699365,546550.000000
16,9683760.744017,519666.000000
32,10162561.630516,516188.000000
64,9790231.770055,507563.000000
128,9735482.175924,489823.000000
256,10669080.290130,522366.000000
512,10215008.349937,525725.000000
1024,10535195.996369,551702.000000
2048,12276759.848506,546676.000000
4096,10126412.537052,636148.000000
8192,9812791.664205,539703.000000
16384,11072109.839670,503597.000000
32768,9502909.459946,533024.000000
65536,3783034.705516,459979.000000
