frequency,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time
2,1422287.550990,1078799.000000
4,166990033.188042,3478688.000000
8,91022181.765470,2260717.000000
16,167196057.825890,3335163.000000
32,882175.838817,724719.000000
64,88137250.652721,2109878.000000
128,169851292.732386,3538790.000000
256,969900.175080,460140.000000
512,2095315.932959,842805.000000
1024,1195763.714312,580382.000000
2048,87512268.933089,2405035.000000
4096,97803893.622149,2186530.000000
8192,222104386.573911,3380702.000000
16384,9261771.930521,762843.000000
32768,3679140.842055,1111163.000000
65536,196580654.088944,3509349.000000
