arrival_time,job_size
25,42
43,8
63,13
89,6
111,22
131,44
153,18
175,7
198,9
221,46
244,14
264,10
286,9
306,26
326,38
350,10
373,7
407,14
429,22
452,6
472,6
498,19
527,61
547,17
572,19
598,97
623,9
639,6
658,8
675,8
696,7
715,18
741,7
762,10
785,15
812,7
834,11
863,8
887,20
906,7
933,12
959,7
974,19
994,6
1007,70
1034,8
1055,6
1072,17
1100,10
1120,21
1135,6
1154,6
1179,8
1191,7
1217,10
1239,8
1257,19
1275,6
1295,19
1315,7
1335,9
1354,24
1379,16
1399,8
1417,8
1438,9
1458,14
1480,6
1500,6
1515,73
1539,7
1559,44
1583,10
1614,8
1642,6
1657,26
1677,11
1703,8
1721,6
1736,12
1754,53
1771,9
1791,47
1819,6
1839,6
1849,9
1868,6
1889,13
1902,7
1923,10
1940,21
1956,48
1970,251
1995,7
2015,358
2033,10
2055,8
2075,24
2100,22
2124,13
2148,22
2167,16
2192,7
2213,29
2229,6
2243,7
2261,18
2281,19
2302,6
2334,17
2355,51
2377,9
2395,20
2415,12
2437,11
2456,18
2494,33
2523,11
2547,6
2568,6
2590,7
2612,9
2631,6
2663,11
2682,13
2700,11
2715,11
2740,9
2759,18
2773,6
2795,9
2819,15
2840,7
2849,7
2872,12
2891,11
2906,248
2928,7
2945,454
2981,13
3006,19
3018,7
3032,8
3056,6
3083,19
3105,6
3130,10
3148,6
3171,6
3186,6
3215,9
3231,10
3257,6
3283,6
3302,24
3321,8
3342,8
3364,10
3386,7
3408,24
3426,6
3441,12
3462,6
3487,8
3514,6
3540,75
3563,75
3590,7
3607,6
3639,6
3654,8
3672,6
3699,10
3729,6
3747,12
3772,8
3794,20
3818,8
3849,18
3874,8
3897,6
3921,7
3936,14
3960,7
3979,73
4002,11
4019,6
4041,8
4056,11
4080,14
4097,11
4111,18
4142,7
4165,6
4192,24
4213,7
4236,19
4259,6
4284,6
4304,14
4325,7
4343,60
4367,11
4395,10
4419,7
4451,6
4463,20
4485,6
4502,9
4527,15
4541,87
4556,7
4575,9
4606,13
4634,6
4653,6
4670,35
4695,6
4719,130
4744,7
4765,42
4789,8
4817,6
4843,10
4874,30
4900,10
4925,9
4947,8
4970,8
4992,9
5010,14
5024,25
5057,6
5075,9
5094,10
5118,15
5140,10
