arrival_time,job_size
13,12
34,15
54,106
78,39
99,10
115,11
139,8
155,8
181,94
203,8
222,11
244,19
271,11
292,10
310,8
333,150
355,18
381,26
405,27
424,24
451,9
473,9
495,8
516,11
539,13
561,9
585,9
599,94
630,11
649,8
679,13
705,46
735,10
759,13
784,53
817,269
842,14
873,32
900,16
911,12
933,18
953,13
980,19
1002,9
1021,29
1043,36
1065,88
1095,10
1124,23
1147,94
1170,9
1184,99
1206,17
1231,24
1259,11
1274,17
1296,20
1316,9
1334,11
1357,16
1376,31
1409,8
1434,30
1456,12
1483,9
1509,40
1526,26
1551,8
1571,13
1590,66
1617,14
1636,26
1664,15
1681,15
1707,10
1727,120
1750,9
1771,18
1793,15
1820,24
1848,9
1865,12
1880,8
1902,371
1921,11
1943,9
1965,11
1999,10
2021,14
2049,59
2074,309
2104,63
2133,13
2156,13
2176,30
2200,315
2218,69
2236,11
2261,8
2285,13
2309,8
2331,10
2355,9
2376,8
2399,15
2425,9
2449,9
2473,46
2502,66
2529,11
2552,54
2569,12
2589,12
2613,214
2641,243
2663,14
2685,28
2714,33
2728,9
2747,15
2761,20
2786,12
2809,43
2826,19
2841,32
2868,11
2890,19
2904,30
2926,9
2954,8
2975,11
2990,12
3020,118
3040,17
3062,14
3078,13
3100,78
3116,8
3138,97
3151,9
3170,50
3190,11
3215,50
3241,19
3267,8
3292,10
3322,12
3344,20
3382,94
3401,31
3429,9
3453,15
3474,124
3511,10
3529,11
3545,9
3570,12
3599,12
3623,9
3639,20
3663,14
3682,20
3700,20
3727,11
3747,129
3766,21
3790,25
3809,18
3829,45
3850,17
3870,14
3887,35
3903,10
3920,12
3929,9
3951,11
3972,14
3994,13
4024,10
4041,17
4064,17
4085,15
4117,23
4137,18
4162,15
4183,190
4204,12
4228,20
4250,34
4274,15
4300,9
4317,9
4333,62
4355,17
4373,34
4399,8
4418,9
4440,60
4453,30
4480,10
4509,9
4530,16
4551,16
4570,22
4592,9
4623,8
4644,8
4664,16
4680,69
4702,18
4721,219
4751,11
4775,12
4788,70
4812,9
4840,17
4871,15
4883,28
4903,79
4920,8
4941,95
4961,8
4983,16
5005,50
5032,13
5056,19
5088,14
5109,15
5134,13
5152,9
5177,8
5198,8
5218,11
5237,8
5256,8
5278,75
5307,11
5325,8
5341,11
5359,8
5381,95
5405,11
5427,31
5443,8
5461,17
5494,28
5521,13
5545,12
5560,8
5587,8
5610,437
5625,14
5640,8
5661,20
5678,26
5705,15
5727,67
5753,14
5777,9
5794,51
5816,8
5836,8
5861,12
5882,25
5902,12
5923,28
5952,9
5982,9
6007,8
6033,42
6056,19
6073,10
6092,9
6105,42
6137,220
6154,48
6175,47
6197,10
6222,15
6242,68
6262,14
6281,70
6301,9
6320,12
6343,11
6359,35
6396,31
6410,37
6434,9
6462,13
6487,9
6509,11
6534,87
6554,29
6579,17
6611,12
6634,48
6659,9
6684,99
6713,62
6732,17
6758,8
6778,449
6797,16
6824,20
6846,8
6871,9
6891,60
6902,10
6925,10
6952,9
6978,16
7001,37
7027,22
7056,9
7072,11
7111,11
7138,20
7160,8
7179,23
7196,20
7219,8
7236,10
7258,10
7289,25
7315,80
7336,70
7357,11
7378,153
7394,8
7418,11
7447,14
7471,11
7495,14
7516,8
7537,10
7558,12
7577,14
