arrival_time,job_size
3,18
20,72
21,16
26,17
85,9
89,9
103,14
131,11
179,10
180,9
182,20
202,12
234,45
269,28
305,12
332,19
346,8
492,8
503,86
507,40
511,20
514,25
528,35
681,9
686,8
748,9
755,249
786,15
855,33
894,8
913,11
930,17
931,9
934,91
938,10
997,32
1061,13
1100,12
1111,8
1140,419
1155,10
1204,11
1239,8
1256,14
1288,11
1292,8
1316,9
1361,42
1411,15
1438,8
1449,10
1491,47
1588,9
1611,10
1649,8
1677,14
1682,8
1722,14
1732,11
1766,10
1768,101
1777,14
1799,8
1820,11
1864,9
1892,49
1904,17
1920,11
1969,13
2007,9
2058,15
2088,11
2108,9
2131,25
2148,26
2149,8
2173,12
2179,9
2186,54
2256,18
2257,14
2263,11
2341,33
2357,209
2368,84
2384,149
2385,9
2407,12
2413,38
2468,9
2469,12
2553,10
2563,12
2566,32
2731,11
2785,17
2820,13
2832,10
2836,27
2853,11
2866,17
2916,43
2918,57
2921,12
2930,34
2953,24
3025,95
3050,12
3064,8
3076,8
3080,271
3106,8
3112,9
3122,10
3151,11
3211,8
3221,17
3247,22
3287,15
3311,8
3320,9
3321,8
3323,92
3359,9
3407,24
3471,170
3483,75
3521,11
3644,23
3651,55
3680,10
3703,13
3709,31
3720,24
3721,13
3725,20
3736,15
3785,20
3831,9
3840,10
3944,10
3951,38
3956,11
3963,50
3965,8
4005,8
4082,14
4089,73
4097,9
4127,8
4153,8
4182,9
4183,9
4191,19
4230,36
4249,23
4295,15
4337,18
4345,9
4364,14
4386,9
4423,13
4457,8
4485,10
4514,8
4555,10
4577,92
4608,17
4623,58
4663,8
4738,12
4752,9
4766,9
4803,30
4836,10
4894,8
4905,80
4930,16
4953,77
4963,12
4983,11
4989,20
5009,11
5065,41
5106,10
5124,10
5187,40
5240,115
5247,8
5290,8
5316,106
5327,10
5379,121
5396,9
5455,8
5523,11
5526,10
5581,92
5609,35
5614,8
5623,12
5633,9
5634,12
5653,280
5686,13
5698,8
5710,15
5786,8
5799,69
5804,377
5806,31
5840,15
5860,30
5869,8
5870,76
6026,13
6027,41
6038,13
6097,10
6113,11
6138,32
6148,9
6175,8
6228,16
6232,11
6290,75
6383,119
6405,25
6475,24
6484,11
6498,10
6499,8
6516,63
6518,82
6576,16
6579,8
6662,96
6668,9
6684,14
6725,214
6768,35
6820,10
6910,16
6925,12
6927,33
6929,52
6948,14
6957,23
6963,16
6973,9
6974,11
6979,8
6991,63
7026,21
7032,10
7033,28
7107,49
7190,73
7209,10
7264,8
7267,16
7280,25
7288,9
7297,12
7299,15
7310,28
7328,17
7331,34
7337,9
7346,66
7384,30
7425,55
7454,13
7458,41
7459,15
7480,65
7488,8
7493,9
7525,14
7529,13
7532,8
7573,9
7583,11
7599,9
7608,12
7643,21
7697,30
7701,125
7731,36
7732,8
7767,29
7785,8
7800,37
7825,12
7860,12
7895,9
7896,34
7901,10
7916,9
7933,21
8005,14
8010,31
8018,173
8025,9
8052,25
8057,102
8061,17
8077,15
8084,9
8092,76
8101,21
8153,8
8204,13
8242,13
8250,16
8259,9
8313,8
8380,10
8386,14
8409,45
8411,15
8418,8
8443,16
8457,9
8479,21
8492,209
8494,9
8554,25
8563,10
8596,18
8597,59
8614,8
8635,16
8667,8
8694,26
8706,9
8711,9
8778,47
8790,39
8803,8
8857,24
8859,32
8916,12
8969,26
8971,17
9056,8
9058,8
9070,17
9079,18
9085,9
9117,11
9128,14
9155,82
9156,13
9165,60
9174,38
9178,16
9307,8
9316,39
9325,12
9330,28
9378,9
9457,9
9462,9
9556,12
9591,12
9608,10
9651,9
9809,10
9835,63
9898,12
9919,8
9950,37
9972,22
9975,8
10021,43
10127,15
10153,8
10173,14
10230,16
10286,15
10311,9
10370,9
10470,12
10480,29
10500,43
10527,15
10535,10
10549,27
10561,16
10566,9
10585,20
10613,11
10623,37
10634,8
10653,12
10743,8
10848,20
10862,29
10891,30
10930,10
10931,14
10933,28
10936,22
10947,18
10975,46
11001,16
11032,24
11036,34
11040,9
11143,16
11160,9
11220,13
11235,10
11243,16
11244,8
11272,78
11276,10
11321,54
11331,15
11346,10
11351,8
11357,14
11377,8
11402,31
11446,13
11474,21
11525,13
11535,108
11630,9
11641,11
11652,9
11690,8
11699,28
11711,14
11714,9
11729,8
11760,110
11842,11
11909,10
11912,8
11941,11
