arrival_time,job_size
5,13
8,19
72,188
81,9
106,18
119,18
120,10
201,13
233,24
324,14
376,20
425,9
467,11
473,9
483,15
487,79
556,14
749,19
797,13
860,91
887,21
905,12
908,23
964,21
970,10
976,9
986,11
1006,63
1036,9
1169,36
1206,25
1220,9
1240,15
1247,9
1278,9
1295,28
1349,18
1391,36
1423,15
1449,71
1475,15
1486,37
1531,8
1570,10
1606,11
1735,17
1771,30
1796,11
1872,9
1930,9
1938,13
1990,10
1992,23
2002,20
2027,13
2064,9
2089,9
2144,19
2224,57
2251,9
2262,11
2302,20
2338,9
2343,9
2366,11
2373,10
2381,13
2394,28
2400,57
2428,68
2435,22
2523,18
2548,10
2564,10
2603,11
2604,29
2607,12
2649,9
2657,117
2667,12
2668,13
2707,28
2731,26
2797,17
2800,11
2886,9
2910,8
2916,10
2945,9
2977,20
3020,23
3032,20
3074,27
3078,38
3113,9
3116,12
3121,13
3200,11
3239,17
3264,17
3285,9
3312,24
3316,15
3324,76
3328,24
3387,78
3421,34
3548,11
3561,421
3617,112
3710,66
3739,15
3752,31
3792,120
3807,79
3896,12
3935,62
3947,78
3960,21
4012,9
4131,12
4132,15
4198,9
4212,12
4221,18
4290,11
4321,18
4325,13
4347,17
4359,12
4367,9
4382,84
4384,46
4455,15
4468,9
4476,11
4477,182
4520,56
4566,64
4619,9
4638,37
4653,9
4679,10
4698,10
4725,13
4781,17
4800,17
4851,11
4869,9
4883,9
4884,11
4888,16
4939,11
4945,11
5018,11
5091,12
5093,155
5115,26
5120,21
5156,15
5236,41
5269,20
5309,10
5335,66
5377,193
5384,9
5386,12
5415,19
5457,9
5471,22
5512,68
5565,22
5566,9
5581,12
5599,9
5610,207
5677,18
5680,16
5692,178
5702,10
5731,15
5752,24
5764,10
5766,9
5794,12
5795,22
5847,328
5891,10
5978,10
6016,10
6018,12
6031,20
6046,29
6076,10
6117,29
6144,10
6222,125
6247,12
6248,32
6254,8
6261,15
6282,13
6370,12
6414,174
6423,136
6430,18
6445,13
6557,12
6561,15
6586,9
6785,8
6805,33
6870,30
6876,10
6910,12
6938,74
6941,44
6943,11
6950,13
7002,15
7012,12
7055,38
7155,39
7156,9
7196,151
7230,50
7303,11
7349,17
7374,13
7388,112
7477,11
7587,33
7602,67
7658,11
7676,32
7687,21
7711,89
7712,18
7733,13
7822,17
7926,9
7933,10
7958,9
7959,146
7961,10
8025,8
8045,11
8083,276
8109,9
8118,18
8179,9
8223,15
8247,62
8323,9
8358,13
8386,9
8433,9
8436,30
8461,9
8497,12
8503,23
8510,11
8522,10
8592,12
8654,9
8661,24
8754,10
8805,10
8815,14
8832,12
8865,26
8940,9
9004,29
9012,12
9038,13
9065,18
9086,10
9179,66
9183,50
9234,186
9274,35
9315,77
9356,12
9359,9
9406,10
9447,51
9569,14
9623,177
9631,11
9651,11
9683,24
9693,17
9698,13
9703,30
9710,48
9742,9
9772,15
9809,25
9820,16
9828,13
9830,15
9887,8
9905,12
9953,12
9989,10
9996,9
10075,9
10078,15
10086,8
10119,14
10153,8
10158,16
10169,42
10181,8
10189,21
10208,12
10283,68
10326,18
10416,23
10487,9
10553,12
10575,17
10578,9
10619,12
10625,9
10626,11
10689,9
10696,11
10709,14
10749,20
10793,18
10828,9
10842,49
10859,11
10876,13
10969,15
10992,10
11036,22
11039,29
11059,18
11060,46
11062,38
11079,12
11096,103
11135,10
11150,10
11178,40
11221,10
11283,10
11300,17
11313,10
11319,10
11322,10
11328,11
11355,10
11360,72
11364,10
11369,11
11410,14
11416,14
11424,32
11473,14
11530,11
11633,10
11637,17
11678,15
11687,10
11700,13
11708,33
11728,10
11753,10
11795,31
11801,160
11830,41
11842,20
11856,16
11877,54
11881,16
11931,91
11933,24
11988,12
12048,9
12086,52
12104,9
12178,9
12239,9
12269,23
12301,14
12302,12
12328,11
12414,9
12416,44
12428,46
12442,57
12465,16
12476,19
12478,42
12496,16
12504,13
12506,19
12518,9
12607,78
12614,9
12620,13
12638,136
12717,23
12730,11
12739,21
12745,31
12770,12
12922,11
12927,99
13022,14
13074,156
13089,9
13147,11
13152,10
13168,43
13191,16
13215,16
13217,9
13285,9
13309,11
13356,31
13357,12
13415,35
13451,9
13504,10
13560,9
13573,9
13590,18
13623,17
13676,19
13689,16
13719,11
13723,12
13737,20
13769,28
13784,14
13901,157
13913,52
13958,40
14080,12
14104,14
14107,14
14130,59
14156,16
14267,39
14278,12
14337,9
14345,9
14402,48
14457,9
14493,11
14515,10
14539,49
14608,10
14632,14
14680,11
14689,12
14758,13
14791,9
14838,9
14935,20
14941,10
14972,31
14986,20
15020,9
15022,10
15066,63
15075,40
15112,43
15115,16
15127,18
15144,9
15209,22
15216,17
15265,20
15275,28
15376,12
15385,23
15443,12
15499,119
15504,12
15633,22
15701,22
15718,9
15765,37
15793,11
15811,31
15826,9
15848,193
15921,69
15941,18
15996,14
16006,11
16067,29
16087,11
16117,96
16146,27
16167,11
16170,11
16253,22
16259,9
16340,11
16383,9
16420,16
16454,61
16518,30
16536,55
16600,12
16660,14
16694,70
16732,62
16750,39
16874,31
16901,37
16953,9
16985,59
17175,11
17186,11
17255,9
17329,22
17460,52
17653,21
17673,15
17789,96
17835,26
17839,9
17906,9
17941,10
17957,11
17997,25
18063,12
18092,34
18264,9
18326,13
18342,39
18444,9
18509,14
18581,17
18612,139
18704,9
18708,176
18714,28
18722,10
18784,12
18793,10
18839,11
18890,16
18931,16
18941,11
18950,14
18969,15
18975,10
18997,10
19018,10
19031,12
19042,11
19055,16
19060,67
19168,18
19244,22
19280,484
19311,24
19326,9
19361,55
19365,15
19413,11
19469,16
19522,10
19639,29
19660,10
19717,9
19727,18
19773,9
19814,51
19816,92
19878,19
19895,14
19922,11
19927,11
19943,12
19971,93
19977,9
19988,36
20002,21
20039,19
20056,11
20076,72
20185,11
20297,12
20320,22
20400,13
20505,23
20560,13
20573,67
20574,23
20610,10
20627,11
20640,35
20679,28
20685,9
20740,10
20742,14
20806,21
20831,10
20866,56
20872,9
20883,11
20932,40
20954,11
20988,70
20993,37
21130,19
21161,100
21224,12
21237,15
21240,10
21241,12
21399,13
21407,20
21456,11
21474,9
21500,11
21530,169
21540,21
21574,24
21581,9
21582,20
21611,9
21656,13
21661,28
21678,46
21770,17
21838,97
21844,9
21856,16
21897,21
21919,18
21927,10
21976,13
22035,22
22043,18
22063,10
22093,11
22123,30
22134,11
22150,11
22206,11
22220,53
22223,10
22237,14
22271,11
22296,12
22355,9
22371,19
22381,104
22382,10
22392,10
22395,11
22410,11
22414,34
22461,18
22550,17
22609,11
22631,56
22637,14
22734,12
22739,36
22811,13
