arrival_time,job_size
16,6
57,6
58,5
59,8
66,9
217,18
382,14
398,7
457,8
554,24
563,10
585,14
591,10
592,13
616,10
645,6
665,19
790,9
838,46
858,6
861,6
921,32
982,12
1040,7
1059,7
1071,13
1076,7
1191,33
1211,50
1254,54
1265,6
1366,14
1397,13
1413,6
1450,13
1482,11
1532,11
1597,10
1667,9
1735,5
1742,131
1785,5
1796,22
1809,17
1900,9
1911,7
1928,20
1938,24
2007,6
2023,6
2026,11
2037,59
2048,8
2083,9
2131,17
2172,6
2196,12
2229,11
2258,32
2311,7
2317,6
2430,31
2459,9
2467,6
2482,11
2494,15
2574,17
2591,5
2600,6
2610,17
2627,10
2643,6
2662,7
2690,24
2768,8
2831,10
2847,55
2928,13
2964,67
2979,6
3013,7
3028,31
3078,12
3251,7
3252,11
3263,18
3265,15
3281,5
3309,28
3318,71
3319,7
3350,5
3366,10
3437,7
3492,10
3525,6
3585,8
3594,7
3617,13
3623,8
3687,6
3733,7
3790,6
3800,9
3875,11
3899,7
3944,118
3954,15
4004,38
4010,17
4073,6
4170,13
4307,6
4318,23
4339,6
4354,15
4394,9
4453,12
4467,5
4583,17
4593,11
4642,18
4663,11
4690,5
4705,7
4747,259
4814,13
4817,30
4825,7
4919,6
4962,8
5019,7
5064,189
5124,5
5157,6
5172,8
5208,22
5233,13
5247,19
5257,12
5269,10
5373,59
5391,8
5570,15
5634,5
5683,13
5735,12
5771,10
5833,8
5861,7
5889,6
5913,10
5918,14
5966,6
5992,7
6040,7
6078,10
6146,5
6170,14
6244,8
6245,7
6279,132
6334,12
6355,11
6417,8
6488,6
6563,93
6609,7
6641,16
6662,31
6701,6
6739,6
6833,5
6849,34
6898,33
6939,6
7010,9
7042,61
7074,64
7080,23
7110,5
7117,7
7243,10
7312,34
7382,10
7387,18
7403,5
7429,19
7497,339
7551,27
7585,6
7607,10
7614,8
7627,15
7642,8
7661,13
7689,9
7691,86
7692,6
7777,8
7897,5
7953,16
7973,7
7994,11
8036,32
8053,7
8097,6
8150,7
8240,9
8269,38
