arrival_time,job_size
20,61
32,71
68,60
70,66
71,40
72,52
90,81
160,19
167,45
172,75
228,91
260,22
270,46
307,64
319,40
322,34
338,105
342,26
485,71
497,55
513,70
532,74
542,62
615,57
647,45
677,95
687,79
703,53
739,81
755,18
761,62
789,66
796,59
831,59
859,73
863,45
981,60
990,61
1053,94
1072,53
1083,63
1124,48
1150,50
1171,40
1222,77
1229,71
1230,43
1240,55
1339,54
1348,45
1355,60
1378,69
1444,109
1463,28
1522,60
1523,57
1560,65
1631,49
1638,48
1642,91
1697,51
1698,38
1701,61
1801,54
1808,67
1827,61
1861,34
1870,39
1884,34
1885,81
1890,46
1916,66
1957,54
1971,25
2020,60
2037,80
2086,70
2087,45
2108,60
2160,72
2174,78
2189,77
2213,39
2214,36
2218,78
2254,67
2266,42
2294,72
2354,52
2392,53
2402,67
2430,33
2453,48
2502,50
2513,56
2598,72
2599,18
2629,75
2633,44
2654,45
2715,70
2741,44
2759,69
2777,75
2804,47
2815,56
2824,36
2827,26
2846,55
2916,75
2974,71
3086,65
3100,35
3101,82
3129,72
3155,29
3158,22
3159,28
3167,72
3170,71
3220,63
3315,46
3331,67
3357,72
3396,48
3447,52
3456,27
3506,54
3549,58
3556,62
3565,2
3575,45
3587,61
3619,69
3621,46
3638,64
3725,53
3781,70
3793,51
3866,84
3886,54
3891,52
3918,70
3944,67
3961,89
3978,60
4040,66
4079,62
4115,77
4243,44
4292,78
4298,74
4303,79
4308,84
4315,56
4337,44
4392,41
4398,61
4410,56
4447,44
4460,87
4474,66
4491,79
4494,57
4500,48
4501,68
4502,56
4512,44
4567,65
4598,65
4628,63
4632,60
4635,52
4658,67
4676,60
4714,64
4738,17
4740,56
4751,39
4808,75
4835,59
4848,31
4864,62
4903,64
4906,67
4907,84
4948,46
4958,52
4971,62
5003,31
5097,68
5102,76
5114,8
5123,65
5140,40
5220,59
5225,50
5232,67
5298,75
5306,84
5348,87
5361,59
5380,56
5394,69
5511,19
5530,38
5531,69
5610,77
5653,74
5666,56
5670,44
5695,44
5706,77
5759,67
5788,91
5800,63
5835,64
5850,42
5920,65
5944,48
5950,51
5952,41
6019,23
6028,38
6079,73
6110,57
6111,60
6114,92
6148,61
6170,52
6176,74
6187,68
6207,23
6214,86
6236,77
6238,57
6289,55
6321,80
6502,56
6506,43
6525,55
6578,62
6592,76
6614,64
6704,83
6767,64
6855,38
6892,66
6968,68
6980,49
6981,63
7071,38
7142,53
7157,50
7166,49
7263,39
7342,80
7345,71
7351,107
7352,100
7355,67
7472,65
7505,71
7532,91
7550,61
7579,65
7607,88
7627,110
7659,60
7726,61
7761,78
7862,67
7878,46
7956,56
8012,39
8057,47
8061,47
8068,76
8074,82
8125,83
8152,33
8180,45
8198,50
8276,79
8299,49
8380,96
8381,73
8398,69
8399,31
8424,93
8459,65
8469,83
8476,61
8489,42
8518,83
8533,59
8567,42
8581,91
8595,62
8660,43
8720,41
8800,41
8803,69
8835,68
8884,37
8949,51
8984,40
9060,32
9089,55
9150,84
9161,42
9166,62
9172,43
9187,71
9205,76
9280,23
9339,43
9347,71
9365,69
9366,31
9373,57
9379,90
9381,18
9401,50
9505,70
9506,58
9532,97
9547,81
9584,74
9615,43
9621,77
9629,36
9641,44
9708,81
9716,81
9731,71
9739,47
9748,50
9749,68
9756,41
9758,45
9825,90
9893,52
9945,54
9974,53
10000,57
10019,64
10061,61
10090,50
10179,62
10199,55
10242,75
10341,28
10342,80
10386,41
10436,79
10482,44
10550,87
10556,53
10561,95
10568,75
10577,67
10611,42
10723,33
10729,60
10766,53
10769,50
10810,48
10875,58
10889,55
10919,54
10947,53
10984,73
11079,68
11094,41
11102,42
11154,101
11169,81
11228,47
11324,65
11353,27
11355,39
11467,25
11483,62
11549,50
11568,46
11614,64
11615,80
11683,51
11688,42
11695,80
11732,38
11739,73
11749,74
11754,67
11758,47
11841,70
11901,35
11939,70
11953,56
11978,64
12017,62
12019,91
12037,67
12076,51
12165,58
12174,41
12198,74
12204,47
12246,59
12286,56
12352,92
12423,65
12432,66
12433,57
12466,69
12470,33
12474,71
12484,61
12492,42
12509,32
12522,57
12624,84
12626,61
12628,37
12640,57
12666,48
12676,46
12825,21
12826,48
12845,75
12869,34
12879,62
12888,79
12912,41
12935,66
12948,75
