arrival_time,job_size
102,15
114,20
151,11
160,26
165,17
332,14
342,10
391,11
482,12
483,24
510,105
523,36
550,17
618,24
642,12
670,32
703,10
724,75
832,12
877,17
889,17
929,13
930,10
932,12
991,85
1005,17
1128,58
1163,103
1203,20
1214,20
1242,10
1248,13
1281,10
1345,21
1348,114
1393,11
1409,63
1418,15
1421,17
1450,11
1466,93
1477,115
1478,12
1501,17
1535,11
1574,21
1590,11
1627,13
1642,233
1667,25
1676,23
1689,11
1717,13
1722,11
1728,16
1737,17
1790,21
2018,66
2032,46
2042,12
2054,10
2081,10
2090,13
2092,11
2120,12
2304,13
2307,25
2340,14
2343,11
2419,13
2443,41
2453,13
2455,10
2456,13
2475,12
2496,10
2526,14
2538,10
2539,11
2550,10
2642,15
2646,10
2649,68
2730,10
2731,17
2747,80
2782,10
2801,12
2881,10
2882,13
2892,37
2934,18
2956,12
2960,30
2975,10
3019,27
3075,14
3141,24
3148,15
3308,12
3328,201
3356,10
3388,21
3414,18
3418,36
3536,117
3557,11
3607,15
3615,24
3647,14
3678,16
3695,30
3699,22
3720,50
3732,28
3867,11
3885,18
3886,19
3896,1384
3908,13
3946,12
4013,252
4023,24
4027,24
4039,47
4048,15
4057,39
4069,10
4096,11
4197,24
4201,19
4202,106
4206,23
4210,15
4224,10
4234,131
4241,23
4242,21
4279,10
4363,15
4367,81
4387,79
4418,13
4423,18
4500,47
4517,13
4520,15
4580,12
4650,18
4672,32
4785,11
4835,14
4854,17
4861,13
4929,11
4944,20
4948,22
4953,75
4983,11
5043,10
5156,154
5173,18
5251,26
5259,11
5298,11
5320,31
5352,16
5368,57
5439,12
5445,67
5482,22
5495,12
5520,15
5524,21
5530,13
5568,13
5576,10
5600,12
5625,11
5681,12
5690,12
5745,11
5753,19
5770,17
5807,10
5824,41
5827,29
5859,187
5860,25
5872,13
5878,19
5934,20
5985,17
6051,10
6120,10
6162,22
6168,382
6249,179
6291,38
6321,17
6322,23
6345,24
6354,69
6362,80
6364,16
6400,11
6621,18
6626,68
6678,10
6714,16
6723,20
6726,20
6751,19
6775,11
6885,21
6937,34
6942,24
6967,11
7014,11
7129,10
7162,14
7202,12
7345,15
7394,10
7417,61
7418,12
7420,38
7446,79
7452,227
7479,20
7526,12
7542,10
7567,11
7574,21
7585,20
7681,34
7682,71
7708,21
7711,14
7742,10
7783,203
7787,20
7792,12
7793,63
7820,11
7828,13
7839,11
7859,10
7868,20
7873,56
7875,32
7914,14
7930,109
7968,38
7969,24
8001,24
8013,47
8030,33
8053,65
8091,15
8101,11
8200,24
8254,45
8256,27
8258,12
8281,16
8332,27
8349,14
8366,15
8375,13
8409,126
8573,12
8578,107
8646,16
8653,601
8661,11
8667,46
8681,20
8709,12
8793,40
8803,11
8910,145
