arrival_time,job_size
1,539
34,32
130,16
131,18
161,23
298,134
384,39
423,18
427,30
443,46
492,17
515,19
530,178
551,19
556,34
572,112
681,16
705,29
763,21
829,104
834,29
838,96
867,23
871,24
903,42
929,17
1025,26
1144,16
1147,230
1179,27
1186,35
1203,25
1282,28
1327,19
1339,30
1388,43
1458,22
1479,24
1488,63
1513,27
1518,365
1586,26
1644,59
1666,21
1689,23
1692,18
1746,18
1750,22
1920,31
1942,17
1958,27
1990,54
2010,21
2014,21
2101,16
2124,29
2147,26
2239,19
2256,19
2275,3117
2290,22
2333,17
2349,76
2437,131
2453,104
2474,20
2483,17
2500,21
2577,18
2599,20
2620,16
2688,102
2843,43
2864,30
2913,27
2994,133
3019,24
3042,19
3201,19
3221,33
3273,164
3325,39
3368,22
3377,30
3430,117
3464,20
3530,19
3532,44
3581,16
3602,16
3614,33
3708,25
3729,60
3816,18
3910,17
3986,38
3994,23
4112,17
4154,367
4159,130
4184,23
4219,51
4226,72
4337,27
4339,22
4372,89
4418,18
4431,58
4465,20
4501,51
4504,41
4515,199
4525,20
4580,23
4650,19
4680,83
4719,17
4763,18
4844,126
4900,68
4981,24
4997,91
5045,22
5060,26
5070,27
5075,17
5099,104
5129,35
5169,32
5191,69
5225,64
5227,20
5232,20
5250,89
5253,22
5254,35
5362,47
5423,23
5454,29
5463,57
5513,41
5554,43
5615,20
5619,1272
5700,73
5706,22
5727,60
5732,55
5741,43
5755,27
5771,44
5789,69
5801,24
5813,25
5898,24
5979,55
6004,257
6061,74
6078,36
6111,17
6138,19
6198,42
6213,21
6227,149
6235,27
6322,112
6343,42
6360,30
6377,836
6417,53
6419,21
6440,19
6523,43
6734,33
6789,27
6863,35
6887,25
6932,84
6977,62
6991,129
7054,86
7067,27
7077,18
7091,423
7099,19
7113,41
7138,20
7247,22
7249,179
7315,18
7321,20
7393,19
7397,40
7444,17
7528,27
7561,78
7639,98
7678,20
7693,67
7701,37
7720,16
7726,73
7748,39
7752,54
7781,93
7801,26
7818,19
7947,16
8020,17
8066,144
8086,17
8122,31
8200,26
8245,35
8258,57
8262,77
8273,22
8296,19
8395,23
8429,131
8432,19
8465,23
8480,222
8499,18
8561,30
8667,39
8701,25
8809,23
8810,462
8815,20
8837,19
8847,132
8851,31
8872,26
8902,60
8955,40
8956,22
8981,10633
9001,18
9007,17
9063,17
9114,22
9126,19
9190,31
9216,22
9256,33
9264,30
9280,1154
9347,28
9496,28
9548,24
9564,292
9628,17
9637,21
9664,93
9725,26
9769,40
9780,18
9790,49
9832,111
9917,17
9925,134
9954,72
9981,32
10014,54
10038,46
10068,80
10074,16
10128,16
10153,28
10162,16
10173,70
10206,41
10214,66
10216,33
10227,27
10258,43
10274,26
10311,35
10328,25
10330,320
10371,47
10557,24
10564,20
10584,35
10710,28
10720,18
10751,17
10768,380
10778,1589
10795,21
10800,20
10801,24
10865,49
10879,27
10991,178
11087,18
11114,54
11153,551
11182,70
11184,25
11203,35
11206,22
11207,66
11225,138
11305,89
11329,28
11408,146
11441,42
11448,23
11450,26
11464,39
11478,27
11546,26
11557,30
11612,157
11659,47
11672,57
11755,26
11763,77
11915,59
11978,31
12138,22
12156,36
12177,31
12193,63
12236,182
12268,20
12289,27
12291,21
12327,73
12372,28
12426,19
12450,21
12460,59
12505,436
12510,68
12528,38
12546,18
12611,17
12729,30
12805,17
12841,16
12859,36
12894,38
12961,300
12963,46
12968,45
13066,1890
13076,22
13103,237
13118,46
13119,22
13158,21
13176,30
13181,44
13209,99
13223,19
13239,26
13242,35
13244,25
13283,28
13289,41
13348,17
13373,30
13412,52
13422,16
13482,41
13518,19
13540,17
13588,28
13603,20
13615,17
13655,20
13668,25
13710,19
13730,18
13737,58
13739,92
13759,95
13795,100
13885,37
13891,22
13892,19
13977,22
13986,18
13990,25
14022,17
14109,18
14229,51
14238,23
14247,54
14319,52
14362,27
14393,149
14419,16
14421,78
14458,26
14461,17
14513,23
14540,22
14556,26
14678,18
14700,20
14708,28
14759,166
14833,129
14876,71
14946,40
15010,49
15015,57
15034,39
15039,630
15083,33
15111,17
15126,36
15194,32
15289,28
15299,29
15369,99
15439,47
15506,168
15551,17
15631,49
15636,39
15637,16
15648,23
15665,70
15674,17
15721,16
15756,27
15821,19
15850,22
15872,23
15895,22
15897,54
15949,29
15955,23
15981,24
15994,16
16074,17
16114,17
16124,55
16200,651
16220,24
16346,26
16354,23
16371,27
16449,24
16483,68
16487,31
16498,19
16544,84
16632,22
16658,43
16787,32
16816,43
16834,75
16844,19
16940,124
17027,57
17064,40
17069,35
17088,20
17105,17
17192,171
17323,22
17361,152
17379,27
17391,37
17393,23
17422,175
17464,19
17496,19
17809,236
17885,138
18004,16
18103,16
18118,18
18155,23
18160,23
18162,266
18164,42
18199,153
18278,18
18293,20
18422,27
18494,26
18496,18
18503,20
18525,426
18615,93
18631,25
18656,34
18671,23
18710,35
18729,99
18732,128
18812,50
18877,23
18907,23
18912,1398
18936,57
19038,100
19054,49
19155,64
19158,99
19204,32
19243,89
19248,39
19262,23
19263,20
19265,19
19278,108
19288,22
19315,24
19358,16
19456,74
19474,17
19542,16
19670,18
19671,17
19716,24
19722,35
