arrival_time,job_size
29,43
34,34
49,63
53,68
70,59
74,97
139,38
188,48
281,27
342,25
348,39
350,27
373,47
397,122
433,35
465,59
471,21
479,36
493,40
516,455
559,25
696,84
708,144
709,21
718,24
723,21
782,32
805,31
823,22
825,27
874,108
897,31
949,54
997,30
1045,21
1140,21
1143,23
1160,28
1165,35
1182,33
1202,29
1224,48
1273,32
1275,44
1303,81
1389,40
1466,118
1571,257
1585,20
1599,29
1620,21
1626,212
1628,26
1662,427
1667,32
1697,66
1753,56
1762,28
1792,96
1826,30
1847,24
1848,286
1870,2158
1877,92
1878,25
1913,74
1924,58
1985,63
1990,47
2026,20
2091,71
2111,39
2210,76
2229,24
2230,53
2246,23
2281,26
2284,1486
2319,30
2346,324
2347,408
2391,32
2402,53
2406,68
2457,306
2460,59
2476,21
2513,51
2523,23
2542,38
2565,273
2605,37
2658,32
2664,61
2747,92
2783,43
2818,33
2824,26
2867,41
2872,51
2940,30
2943,41
2972,174
3013,123
3027,30
3028,39
3034,25
3037,20
3075,21
3082,194
3088,28
3118,26
3165,41
3224,47
3235,250
3336,28
3361,32
3385,33
3391,29
3396,96
3485,26
3517,94
3520,26
3525,97
3527,32
3562,22
3607,82
3662,58
3682,192
3709,175
3717,108
3719,53
3726,50
3799,20
3807,35
3815,23
3828,24
3832,35
3911,42
3916,95
3956,76
3958,29
3969,21
4033,64
4073,26
4076,1578
4084,58
4114,37
4127,50
4177,35
4355,37
4391,144
4394,44
4436,33
4462,54
4488,80
4491,21
4500,31
4519,24
4550,92
4616,93
4619,1093
4675,68
4757,43
4780,298
4790,38
4809,190
4810,26
4812,35
4817,68
4835,78
4836,66
4845,25
4870,72
4886,34
4923,42
4933,1153
4947,22
4948,21
5041,20
5063,153
5074,25
5128,35
5204,39
5224,108
5245,21
5250,29
5284,58
5332,42
5351,193
5433,165
5435,37
5437,28
5477,29
5515,63
5517,24
5523,80
5534,38
5537,26
5542,35
5597,303
5600,30
5647,28
5684,137
5726,99
5812,35
5840,57
5862,170
5870,26
5875,35
5879,119
5889,63
5892,40
5897,21
5923,77
5929,45
5944,28
5950,46
5957,32
5965,22
5973,58
5974,27
5996,22
5997,75
6012,22
6057,51
6102,39
6124,24
6131,32
6172,96
6173,28
6176,112
6187,22
6188,20
6231,25
6244,73
6258,24
6305,148
6308,21
6323,25
6352,21
6355,21
6358,21
6461,52
6483,60
6490,64
6494,38
6530,74
6564,30
6568,119
6582,53
6633,65
6637,41
6640,78
6645,25
6651,58
6739,25
6767,30
6818,23
6834,38
6849,27
6854,36
6869,62
6885,25
6910,63
6953,21
6972,28
6999,49
7016,45
7042,24
7059,73
7060,50
7090,25
7147,21
7227,22
7233,42
7306,136
7334,211
7342,29
7380,32
7396,54
7401,69
7425,32
7432,89
7452,46
7454,21
7459,26
7492,37
7494,48
7514,57
7541,22
7574,208
7576,43
7578,119
7585,1952
7603,79
7625,202
7629,95
7660,46
7697,22
7702,45
7779,108
7807,33
7827,146
7829,35
7839,26
7852,24
7855,145
7869,23
7870,24
7878,25
7906,36
7937,33
7981,23
8001,53
8011,30
8106,32
8107,63
8130,56
8147,36
8153,34
8196,25
8287,30
8316,31
8343,20
8470,69
8537,26
8542,28
8549,24
8556,60
8559,54
8570,32
8591,40
8616,33
8633,22
8647,37
8685,65
8722,93
8751,356
8773,27
8788,57
8795,53
8823,21
8831,114
8872,38
8873,83
8909,23
8913,60
8966,35
8992,329
8997,21
9039,65
9046,23
9065,76
9137,255
9139,106
9166,190
9186,32
9206,197
9221,26
9248,30
9295,573
9321,33
9328,31
9339,53
9344,51
9408,215
9421,35
9425,98
9457,173
9474,85
9495,35
9553,38
9569,403
9580,21
9609,25
9640,55
9706,29
9710,75
9741,300
9758,29
9769,21
9775,61
9786,43
9830,35
9842,40
9871,22
9909,23
9954,1064
10132,60
10152,73
10209,45
10321,45
10347,25
10348,87
10367,39
10372,43
10389,114
10416,48
10439,21
10457,34
10463,35
10504,26
10549,24
10563,87
10595,46
10606,119
10610,129
10622,3598
10635,67
10678,26
10688,42
10759,62
10775,26
10797,23
10802,59
10907,21
10926,22
10947,76
10952,34
10992,30
11009,23
11085,85
11110,24
11223,67
11257,55
11269,37
11305,629
11321,40
11339,51
11398,66
11399,2244
11455,262
11509,36
11531,20
11568,57
11575,30
11595,158
11609,26
11637,112
11676,52
11699,33
11732,68
11734,31
11756,26
11787,36
11793,116
11810,27
11832,47
11859,56
11880,39
11887,88
11895,66
11908,21
11911,29
11952,53
11962,64
11975,21
12045,51
12047,67
12060,23
12067,34
12102,40
12122,24
12167,74
12219,27
12242,53
12254,63
12264,25
12305,228
12330,30
12331,30
12338,23
12366,22
12447,74
12492,32
12543,122
12564,43
12571,26
12625,35
12679,59
12696,24
12721,49
12749,21
12797,31
12940,40
12942,31
12961,25
13011,51
13047,42
13051,20
13098,28
13101,21
13123,28
13126,23
13128,176
13147,25
13161,58
13187,26
13206,85
13234,24
13235,117
13256,45
13258,60
13260,20
13269,42
13304,227
13357,32
13362,33
13427,24
13467,58
13496,144
13559,39
13563,21
13585,250
13597,35
13716,29
13720,98
13750,79
13814,24
13880,81
13902,25
13916,28
13918,23
13929,22
13944,48
14027,37
14049,148
14065,31
14075,30
14076,36
14116,42
14144,23
14209,22
14250,24
14290,191
14309,59
14348,21
14352,43
14356,63
14368,398
14379,98
14382,28
14393,20
14416,41
14437,81
14476,53
14499,21
14502,32
14517,95
14521,20
14557,62
14564,32
14583,35
14585,44
14705,20
14707,26
14757,82
14776,64
14797,44
14810,21
14823,37
14899,35
14935,65
14937,35
14950,54
14953,25
14975,20
14985,21
14995,39
15040,22
15087,28
15102,290
15109,100
15120,62
15195,47
15196,21
15200,35
15208,23
15209,37
15252,58
15317,121
15407,137
15408,27
15430,122
15440,192
15461,48
15475,22
15479,51
15499,188
15514,78
15522,162
15557,31
15567,24
15605,20
15619,44
15641,36
15657,22
15660,151
15747,122
15751,22
15784,34
15821,23
15824,22
15845,41
15849,35
15867,67
15875,23
15913,211
15916,32
15928,27
15929,276
15956,29
15987,22
16051,20
16053,66
16064,21
16083,20
16092,37
16168,120
16245,28
16257,28
16298,90
16332,170
16370,36
16376,30
16434,32
16454,26
16464,27
16470,32
16541,55
16605,25
16705,52
16723,30
16733,28
16738,24
16761,22
16768,44
16774,71
16775,23
16806,28
16819,27
16830,68
16867,125
16895,37
16896,56
16901,27
16926,40
16986,38
17024,51
17065,35
17113,444
17132,25
17136,247
17161,28
17190,25
17222,113
17273,22
17282,21
17356,21
17388,21
17420,79
17438,28
17489,34
17522,111
17523,79
17524,31
17621,33
17636,25
17656,22
17697,47
17748,59
17764,44
17784,22
17790,20
17815,26
17834,21
17840,37
17863,37
17920,33
17927,79
17942,22
17948,33
18019,28
18064,108
18065,61
18075,55
18101,168
18106,50
18134,38
18135,119
18145,32
18148,25
18172,39
18249,26
18259,22
18296,32
18301,36
18385,21
18387,47
18388,22
18395,35
18398,20
18446,102
18496,42
18516,33
18538,25
18545,27
18551,63
18623,26
18657,36
18714,46
18855,44
18869,21
18892,92
18915,22
18916,410
18922,38
18951,48
18955,21
19003,30
19048,36
19049,52
19073,160
19076,20
19097,31
19106,21
19110,30
19117,22
19261,40
19275,27
19322,53
19339,29
19370,21
19414,24
19432,54
19447,23
19494,40
19499,32
19533,21
19552,48
19555,26
19558,57
19608,23
19623,91
19663,99
19664,21
19692,25
19767,29
19783,38
19834,38
19837,24
19839,66
19928,26
19943,72
19956,104
19965,76
19988,109
20026,33
20033,62
20051,55
20068,22
20141,28
20153,33
20161,25
20165,28
20241,30
20276,23
20303,20
20305,33
20345,22
20401,30
20466,28
20502,79
20575,21
20592,23
20600,33
20608,20
20628,35
20662,63
20667,70
20686,31
20797,41
20805,50
20833,29
20834,65
20837,30
20857,25
20871,24
20872,57
20881,24
20949,30
20953,61
21003,20
21006,39
21033,23
21039,22
21053,22
21065,25
21074,27
21077,309
21101,25
21109,37
21113,69
21137,25
21148,30
21160,25
21175,30
21224,89
21236,118
21284,63
21291,35
21298,53
21299,22
21312,20
21317,55
21322,75
21376,85
21399,25
21401,26
21461,23
21506,21
21507,31
21528,74
21531,31
21557,20
21630,166
21640,33
21744,64
21808,34
21833,25
21898,20
21939,201
21940,82
22006,68
22054,59
