arrival_time,job_size
25,6
28,9
32,222
65,22
147,18
151,6
176,44
177,29
205,184
208,23
222,16
252,9
256,47
289,59
290,24
313,6
314,34
339,123
340,26
357,43
376,59
379,5
383,6
534,35
573,5
586,20
675,13
713,15
714,43
718,2126
780,68
782,18
787,24
813,20
853,6
872,37
918,6
924,26
932,6
936,15
964,47
980,12
1077,12
1086,61
1122,48
1131,63
1171,20
1174,24
1175,111
1190,52
1197,60
1201,10
1302,127
1306,38
1315,28
1340,34
1396,84
1398,8
1408,18
1435,60
1522,45
1523,27
1532,19
1544,14
1619,6
1629,15
1636,11
1661,22
1698,32
1728,20
1738,31
1755,62
1761,31
1810,18
1870,17
1915,6
1918,1893
1944,9
1962,7
2030,17
2041,5
2043,19
2124,18
2132,26
2136,26
2143,22
2188,27
2217,13
2338,11
2366,12
2423,227
2473,10
2514,7
2551,476
2556,59
2613,93
2639,44
2668,13
2670,54
2690,151
2694,15
2711,37
2714,39
2722,60
2749,168
2750,39
2754,17
2766,19
2782,9
2819,30
2894,57
2951,21
2952,208
2990,901
2996,16
3066,19
3088,8
3114,20
3147,10
3148,40
3155,57
3158,33
3162,15
3178,33
3238,9
3241,10
3249,5
3257,36
3262,328
3283,11
3309,11
3340,15
3363,14
3440,20
3465,17
3521,12
3530,14
3531,24
3602,25
3648,5
3701,22
3732,158
3752,68
3774,41
3806,11
3878,5
3886,75
3894,6
3914,18
3982,11
4012,14
4023,61
4045,5
4054,43
4124,10
4126,7
4194,22
4211,34
4252,24
4259,13
4261,14
4293,24
4301,11
4362,24
4369,11
4396,21
4424,17
4431,7
4460,7
4463,10
4474,24
4488,6
4511,10
4550,9
4557,58
4576,61
4630,13
4684,10
4723,19
4763,419
4780,25
4816,23
4915,12
4919,192
4988,17
4995,6
5005,16
5032,39
5042,22
5080,8
5146,5
5159,21
5205,11
5296,19
5379,14
5398,13
5418,21
5421,20
5423,61
5445,64
5446,261
5460,38
5522,6
5622,774
5654,10
5717,35
5722,6
5783,63
5826,21
5867,41
5871,30
5872,17
5902,11
5922,20
5931,33
5978,52
5997,104
6013,10
6022,12
6052,38
6111,50
6159,230
6161,14
6163,23
6176,20
6191,75
6204,65
6214,15
6219,20
6246,7
6269,106
6321,24
6335,6
6360,7
6373,101
6392,23
6473,25
6484,25
6509,32
6521,33
6531,60
6534,28
6540,12
6584,14
6657,17
6658,11
6695,30
6698,30
6703,61
6737,155
6767,57
6801,8
6891,30
6894,37
6916,6
6927,207
6995,24
6997,9
7023,28
7035,116
7068,62
7071,33
7082,157
7089,59
7093,31
7125,17
7128,410
7135,281
7168,58
7189,28
7236,47
7241,11
7248,20
7288,59
7311,21
7338,308
7344,59
7369,58
7411,9
7495,7
7521,16
7522,64
7542,8
7543,35
7563,23
7589,15
7605,36
7616,64
7633,8
7653,165
7666,104
7677,29
7696,6
7727,17
7752,18
7802,23
7827,10
7844,305
7878,69
7926,6
7954,67
7955,5
7989,21
8055,341
8120,19
8138,46
8156,6
8191,5
8207,942
8208,19
8259,20
8280,118
8402,29
8440,8
8453,827
8490,61
8538,27
8561,150
8573,22
8574,19
8580,22
8587,5
8590,6
8651,20
8713,34
8730,79
8739,43
8801,48
8804,16
8854,16
8935,183
8971,30
8987,14
9029,24
9036,9
9056,7
9060,31
9061,46
9099,16
9111,27
9147,10
9193,7
9197,26
9235,44
9256,43
9300,63
9303,8
9317,62
9321,62
9335,30
9337,47
9360,58
9361,84
9363,52
9383,7
9458,9
9483,59
9513,9
9523,179
9530,40
9575,61
9599,44
9604,103
9645,31
9651,60
9672,8
9698,7
9715,59
9716,6
9732,11
9748,31
9794,39
9836,113
9849,244
9862,11
9933,16
9950,265
9955,9
9973,59
9983,7
10013,102
10056,16
10069,16
10080,43
10110,7
10159,7
10204,10
10259,122
10297,20
10327,34
10394,16
10418,18
10426,18
10437,44
10468,9
10522,47
10540,30
10561,22
10622,8
10653,47
10685,41
10689,5
10691,45
10704,42
10708,13
10726,37
10732,19
10741,19
10775,61
10795,30
10810,316
10813,33
10854,9
10871,52
10885,89
10929,65
10940,5
10961,22
11003,19
11023,32
11164,465
11166,27
