arrival_time,job_size
13,10
20,8
35,10
79,12
106,14
122,18
123,13
124,9
131,93
132,16
141,12
152,10
204,9
291,7
311,28
344,15
419,33
436,8
487,7
512,9
521,14
553,6
606,8
630,7
653,14
665,7
724,7
853,7
911,11
951,9
983,17
999,10
1001,15
1011,25
1056,12
1058,9
1064,139
1067,22
1095,8
1108,11
1166,5
1168,8
1173,5
1188,8
1202,13
1226,21
1255,5
1275,6
1287,19
1307,17
1332,38
1406,10
1408,5
1409,7
1413,6
1584,7
1614,11
1646,8
1657,5
1713,8
1714,13
1719,41
1725,24
1742,29
1746,9
1789,15
1808,5
1818,6
1838,18
1839,8
1851,5
1855,10
1878,13
1896,18
1933,10
1938,28
1968,22
2013,8
2020,6
2026,12
2047,9
2064,6
2070,11
2133,18
2135,9
2148,15
2308,6
2311,5
2316,7
2343,15
2360,7
2464,17
2469,12
2471,7
2489,9
2506,8
2512,7
2556,6
2589,7
2623,7
2646,18
2656,10
2665,14
2672,16
2721,15
2722,22
2728,11
2735,14
2806,20
2816,13
2824,11
2825,18
2858,189
2873,10
2881,7
2884,8
2941,17
2965,9
3030,7
3034,12
3070,9
3100,14
3185,6
3199,7
3236,9
3332,8
3383,36
3394,22
3395,10
3422,9
3512,6
3551,5
3578,7
3585,7
3613,8
3630,7
3631,10
3651,8
3664,7
3668,8
3674,57
3689,12
3695,16
3724,13
3780,10
3787,7
3802,11
3848,13
3875,7
3899,7
3904,14
3929,13
3934,8
3959,26
3990,11
3996,59
4002,136
4025,11
4043,36
4075,8
4085,16
4086,10
4117,6
4134,5
4147,7
4169,8
4190,205
4203,11
4281,12
4293,7
4303,8
4309,6
4360,215
4373,8
4421,8
4436,9
4441,12
4457,9
4513,23
4539,6
4551,7
4559,20
4570,23
4608,7
4618,8
4624,29
4632,32
4636,50
4648,38
4674,11
4688,15
4759,19
4765,21
4776,10
4807,11
4814,36
4833,7
4852,13
4854,24
4865,10
4889,8
4912,208
4917,24
4934,50
4958,14
4981,8
4986,7
5003,9
5015,8
5016,9
5023,58
5127,17
5137,8
5146,7
5174,12
5227,49
5242,8
5278,16
5282,19
5319,7
5320,24
5325,168
5339,9
5411,6
5435,9
5436,12
5447,20
5448,36
5475,11
5494,5
5500,8
5532,32
5617,7
5622,5
5682,25
5735,11
5766,7
5768,7
5817,14
5827,12
5838,8
5855,103
5889,12
5903,8
5937,20
5944,11
5979,9
5993,11
6033,6
6044,13
6053,15
6090,12
6105,9
6107,66
6108,9
6117,137
6128,14
6137,12
6150,6
6156,37
6177,110
6193,16
6215,13
6314,15
6316,19
6328,42
6347,112
6363,17
6400,24
6411,149
6458,51
6483,9
6501,20
6504,9
6529,12
6559,11
6589,12
6603,10
6614,29
6722,9
6727,28
6765,27
6800,51
6816,31
6863,23
6886,18
6895,25
6917,38
6923,22
6945,21
6951,22
6960,10
6990,10
7061,11
7081,14
7110,13
7159,9
7177,13
7202,14
7209,18
7219,33
7248,37
7257,32
7273,51
7294,35
7310,36
7330,22
7337,24
7340,48
7385,19
7409,10
7420,18
7425,35
7437,34
7447,47
7510,17
7516,11
7563,11
7587,52
7591,12
7626,245
7692,48
7719,205
7729,25
7751,15
7754,15
7767,9
7776,10
7807,9
7838,13
7904,11
7910,35
7911,9
7941,13
7967,33
7977,38
7998,40
8027,35
8044,17
8073,9
8086,32
8114,31
8115,9
8124,13
8128,12
8130,37
8206,9
8217,12
8237,10
8245,12
8246,18
8264,19
8277,38
8289,37
8291,31
8354,27
8405,18
8449,21
8457,48
8464,20
8489,36
8526,16
8541,29
8562,42
8582,20
8593,33
8595,9
8604,10
8606,26
8618,20
8643,30
8681,19
8703,42
8770,22
8783,31
8786,51
8852,32
8900,38
8901,33
8907,53
8913,55
8916,13
8930,24
8959,24
8972,9
9016,9
9159,10
9173,10
9183,10
9187,14
9200,37
9208,49
9236,19
9237,46
9253,27
9323,45
9353,21
9364,21
9418,22
9426,36
9442,12
9447,18
9449,17
9463,21
9464,14
9475,13
9498,12
9513,12
9558,54
9559,14
9561,12
9610,6
9631,7
9672,6
9680,10
9693,13
9749,10
9761,102
9785,10
9796,52
9803,9
9843,13
9848,35
9881,10
9939,33
9945,434
9954,9
9977,14
10049,18
10093,19
10103,12
10142,9
10150,8
10178,23
10190,10
10242,10
10247,10
10250,23
10291,10
10299,14
10315,39
10333,24
10360,44
10382,62
10414,21
10417,44
10428,37
10578,50
10602,33
10626,57
10649,63
10660,19
10663,38
10686,56
10714,24
10717,26
10723,26
10744,20
10770,20
10809,18
10811,33
10918,24
10926,22
10927,26
10989,17
11028,21
11030,17
11083,23
11126,30
11128,30
11133,14
11183,34
11215,14
11283,15
11297,27
11318,58
11329,10
11347,15
11385,80
11386,290
11449,8
11450,7
11482,18
11496,8
11514,14
11546,9
11558,13
11568,58
11636,7
11701,14
11726,17
11775,28
11821,97
11825,9
11863,9
11880,10
11897,29
11920,13
11925,43
11938,9
11961,9
12000,5
12008,72
12014,6
12026,23
12053,9
12069,12
12071,7
12076,5
12120,128
12130,7
12184,15
12206,34
12223,5
12227,17
12239,10
12270,5
12276,5
12279,6
12342,10
12348,12
12362,5
12392,5
12394,10
12412,5
12458,11
12483,5
12558,6
12560,5
12586,108
12592,5
12602,6
12653,18
12658,20
12661,30
12671,7
12673,6
12703,5
12709,5
12735,246
12750,8
12772,9
12812,14
12819,49
12823,9
12850,5
12859,21
12872,8
12917,6
12976,5
12989,6
12990,10
13004,19
13010,15
13018,5
13026,6
13035,24
13039,5
13063,8
13065,5
13066,29
13087,8
13094,6
13113,12
13115,5
13127,26
13144,18
13147,6
13206,10
13242,8
13250,5
13384,57
13401,6
13405,12
13439,5
13457,31
13462,5
13491,7
13506,7
13567,6
13593,10
13594,30
13621,7
13650,7
13691,5
13707,30
13710,13
13733,31
13765,6
13778,7
13789,9
13791,10
13798,9
13856,11
13912,10
13921,5
13940,27
13949,7
13951,45
13973,7
13975,5
13982,6
13990,21
14010,5
14023,13
14032,38
14085,6
14117,7
14124,7
14164,6
14167,7
14224,23
14257,17
14327,7
14330,11
14363,11
14394,9
14448,7
14501,5
14502,11
14520,14
14524,7
14525,28
14526,5
14532,16
14560,9
14591,7
14620,12
14641,6
14654,7
14677,15
14755,6
14769,14
14790,5
14811,6
14881,26
14893,9
15001,62
15026,22
15030,6
15048,5
15089,8
15142,7
15149,10
15161,7
15162,8
15195,18
15199,20
15204,9
15219,80
15264,231
15279,5
15281,7
15334,6
15387,25
15398,5
15400,46
15492,9
15536,11
15572,7
15573,66
15697,6
15704,16
15717,5
15742,5
15743,7
15758,9
15759,9
15796,1625
15810,10
15817,27
15846,5
15858,6
15925,6
15936,7
15942,5
15959,42
15986,5
16032,5
16045,17
16051,6
16080,5
16085,5
16101,17
16120,10
16128,30
16215,5
16251,11
16262,5
16302,6
16308,5
16358,17
16433,7
16444,36
16465,8
16471,51
16497,21
16540,6
16550,8
16581,6
16622,10
16651,9
16701,7
16733,60
16755,8
16778,21
16786,20
16826,6
16839,18
16858,116
16868,112
16874,14
16884,8
16909,18
16915,6
16926,7
16929,7
16930,34
16945,7
16981,9
16982,9
16985,34
17001,7
17038,15
17042,25
17067,10
17097,24
17139,16
17152,7
17153,322
17160,12
17177,8
17214,10
17263,78
17285,543
17293,16
17299,12
17313,36
17314,86
17315,13
17316,10
17323,14
17336,9
17340,35
17356,10
17373,12
17378,15
17385,45
17430,9
17494,16
17509,13
17510,6
17563,10
17576,258
17626,11
17634,7
17636,12
17645,8
17646,27
17656,10
17673,11
17674,39
17710,10
17718,24
17730,21
17736,12
17799,9
17811,14
17812,23
17825,32
17832,26
17841,29
17846,26
17849,25
17850,29
17852,39
17912,18
17930,30
17952,41
17959,20
18007,129
18011,9
18017,31
18031,11
18039,11
18061,40
18135,10
18197,106
18212,19
18246,31
18267,13
18279,11
18311,11
18320,12
18334,15
18377,17
18395,18
18402,128
18411,8
18412,64
18438,33
18443,16
18460,9
18550,10
18596,16
18609,14
18630,24
18682,8
18721,62
18722,9
18733,120
18736,11
18746,9
18749,8
18755,7
18756,8
18786,42
18799,7
18804,7
18825,24
18833,21
18834,53
18888,9
18896,24
19041,30
19052,37
19063,30
19069,25
19070,33
19107,11
19138,19
19141,9
19146,38
19175,12
19178,66
19204,18
19268,12
19271,102
19286,9
19383,15
19519,6
19520,13
19524,50
19529,10
19536,29
19547,17
19587,8
19609,8
19619,8
19650,45
19772,30
19812,9
19826,92
19863,37
19870,10
19915,10
19938,10
19945,15
19948,12
19966,20
19973,18
19981,8
19998,8
20005,30
20046,35
20049,7
20102,10
20138,16
20143,37
20151,13
20152,10
20164,13
20184,21
20187,266
20208,12
20252,29
20290,17
20308,10
20320,19
20327,39
20401,17
20408,11
20409,7
20422,11
20461,13
20479,11
20497,155
20523,21
20556,6
20574,8
20579,7
20600,10
20606,7
20623,14
20658,128
20667,15
20669,15
20676,21
20687,6
20693,6
20706,12
20717,952
20736,10
20739,9
20742,8
20764,6
20772,10
20779,35
20780,484
20791,6
20810,43
20853,18
20895,39
20931,13
20945,109
21064,8
21075,17
21125,11
21156,10
21175,16
21221,10
21235,15
21263,57
21273,9
21300,7
21329,16
21347,10
21349,6
21390,11
21447,6
21508,18
21516,16
21527,16
21554,67
21562,10
21585,24
21589,21
21596,35
21620,37
21627,14
21655,13
21723,8
21734,7
21741,275
21748,11
21749,7
21774,13
21816,9
21832,7
21844,8
21846,10
21869,82
21890,43
21953,27
21956,8
21958,6
21988,44
21989,7
22000,119
22021,7
22031,5
22034,14
22035,10
22036,6
22057,14
22086,151
22104,7
22116,21
22146,90
22178,96
22235,6
22247,18
22281,7
22305,9
22358,43
22368,18
22399,6
22423,23
22428,6
22432,13
22465,13
22484,16
22516,24
22529,10
22554,24
22589,8
22664,6
22731,5
22753,29
22764,6
22781,20
22789,17
22823,5
22833,103
22859,8
22863,7
22868,7
22879,6
22988,6
23015,9
