arrival_time,job_size
26,29
35,24
39,669
69,34
92,22
98,20
104,31
108,45
132,61
243,51
247,112
274,60
344,922
465,28
545,178
564,712
636,37
637,36
656,47
661,22
664,55
684,60
702,21
710,113
765,26
766,230
790,35
807,103
808,25
845,27
852,101
904,28
911,43
951,34
965,29
1029,22
1182,87
1219,110
1221,56
1225,48
1347,22
1353,50
1360,21
1363,25
1372,31
1374,21
1387,24
1474,58
1479,29
1513,27
1552,55
1556,32
1572,44
1589,28
1598,104
1712,37
1730,28
1750,95
1761,28
1784,68
1801,20
1808,133
1852,210
1868,35
1941,36
2009,33
2017,46
2050,59
2082,33
2182,658
2312,627
2338,20
2367,49
2403,34
2486,98
2518,37
2563,40
2574,34
2614,62
2666,93
2709,21
2756,22
2776,76
2804,30
2805,39
2944,41
2961,25
3009,21
3010,27
3033,337
3133,934
3172,49
3256,62
3404,113
3408,35
3441,37
3478,24
3481,24
3505,70
3588,22
3624,37
3638,21
3675,34
3798,23
3829,33
3832,36
3964,31
4028,42
4059,22
4066,47
4193,27
4225,288
4275,23
4336,40
4341,20
4461,30
4560,26
4614,21
4617,122
4619,155
4620,37
4630,63
4721,23
4732,42
4815,34
4816,45
4843,37
4866,25
4874,29
4921,67
4994,39
5010,23
5028,30
5043,24
5094,51
5165,50
5186,42
5198,104
5216,28
5219,29
5277,31
5368,36
5372,259
5378,24
5379,176
5402,90
5439,33
5474,110
5621,29
5631,60
5646,25
5675,25
5680,22
5766,22
5775,82
5858,32
5859,31
5891,23
5901,103
5910,34
5942,40
5982,31
6025,74
6026,1023
6039,76
6053,50
6188,33
6243,23
6336,36
6348,232
6351,26
6352,22
6410,165
6419,27
6455,30
6463,35
6472,26
6510,88
6619,29
6628,49
6642,21
6651,84
6678,32
6708,25
6710,49
6766,39
6777,38
6918,38
6921,42
6967,21
6970,73
6992,102
7000,86
7020,22
7087,97
7098,24
7183,774
7315,37
7328,39
7335,184
7340,34
7362,30
7440,23
7448,39
7494,51
7512,29
7544,57
7566,61
7596,35
7647,32
7689,32
7743,26
7755,99
7784,21
7846,33
7872,60
8096,74
8101,85
8130,23
8152,380
8153,29
8164,21
8204,1629
8263,75
8284,33
8325,60
8364,49
8369,130
8415,31
8437,39
8447,57
8555,39
8593,59
8630,26
8721,218
8764,30
8828,28
8845,92
8902,205
8917,28
8924,22
8960,43
9004,137
9023,26
9089,456
9106,49
9131,38
9197,31
9214,23
9232,91
9264,26
9300,43
9302,773
9327,58
9328,1229
9332,41
9345,50
9361,52
9375,52
9377,36
9378,50
9508,34
9561,118
9613,54
9615,50
9704,36
9720,414
9722,41
9724,45
9747,67
9753,353
9771,87
9782,168
9790,34
9796,42
9806,36
9832,117
9854,44
9855,86
9862,56
9864,85
9887,373
9892,249
9897,204
9940,368
9972,103
9989,38
9993,233
10027,86
10069,85
10086,47
10087,41
10096,67
10122,57
10142,77
10194,48
10214,74
10229,46
10338,290
10459,38
10493,109
10522,43
10530,314
10566,43
10586,152
10629,47
10647,156
10651,47
10687,50
10736,59
10742,76
10747,92
10752,37
10768,62
10774,103
10783,72
10815,142
10830,67
10838,36
10841,34
10860,54
10863,53
10869,54
10903,44
10917,183
11024,88
11054,36
11055,79
11068,44
11073,41
11083,112
11094,64
11101,36
11102,75
11116,48
11126,196
11163,35
11195,58
11266,399
11273,110
11293,62
11305,87
11334,131
11373,34
11374,114
11383,49
11407,39
11411,86
11412,143
11439,87
11443,107
11454,40
11517,413
11522,130
11599,52
11601,44
11602,69
11621,75
11643,36
11646,114
11685,39
11686,138
11692,78
11722,43
11753,41
11764,40
11776,48
11805,294
11811,106
11828,53
11874,283
11900,73
11958,110
11994,57
11995,35
11999,103
12051,60
12105,67
12117,101
12118,185
12131,67
12144,77
12145,47
12153,80
12164,83
12213,42
12259,51
12299,58
12319,97
12323,33
12326,47
12403,125
12436,55
12437,43
12484,37
12522,48
12528,90
12546,395
12552,54
12553,38
12581,448
12587,365
12598,220
12607,35
12609,69
12654,44
12676,120
12679,138
12687,48
12714,33
12735,77
12748,55
12749,85
12754,41
12759,41
12784,129
12803,126
12812,207
12820,56
12828,43
12857,50
12863,95
12896,498
12946,56
13027,38
13032,221
13067,104
13069,128
13178,34
13197,65
13218,37
13239,63
13242,256
13296,161
13307,101
13326,57
13344,74
13365,34
13392,310
13404,38
13413,146
13429,39
13458,51
13478,231
13505,40
13533,54
13574,55
13579,39
13585,33
13631,70
13655,35
13670,106
13677,92
13701,103
13709,33
13734,41
13777,296
13802,36
13851,323
13863,48
13880,290
13883,110
13962,252
13971,161
13991,127
14064,146
14067,50
14080,40
14136,84
14146,80
14183,35
14204,510
14207,156
14230,76
14239,257
14301,154
14327,97
14328,128
14341,429
14365,75
14387,45
14432,62
14438,37
14471,36
14493,39
14494,149
14496,39
14566,150
14584,118
14657,83
14659,34
14711,44
14721,153
14758,34
14763,83
14791,46
14792,33
14793,57
14847,57
14854,33
14856,58
14859,266
14901,73
14916,58
14950,38
14955,35
14961,201
14987,34
15008,34
15020,42
15034,301
15056,34
15068,208
15072,42
15076,42
15080,87
15088,46
15158,175
15174,42
15218,38
15232,47
15302,68
15310,58
15348,76
15389,65
15421,44
15422,48
15453,183
15488,40
15490,45
15491,124
15509,47
15519,61
15534,33
15616,37
15673,56
15693,181
15757,43
15759,40
15767,57
15830,41
15898,49
15915,36
15917,34
15927,62
15933,53
15993,35
16014,207
16026,35
16027,246
16042,38
16043,39
16058,77
16061,131
16094,186
16098,100
16099,135
16162,45
16203,209
16235,52
16256,35
16293,37
16326,73
16338,67
16342,65
16433,69
16490,61
16576,67
16632,36
16665,202
16701,132
16712,163
16721,48
16729,67
16732,50
16777,33
16809,351
16840,180
16855,69
16858,160
16876,81
16880,41
16903,56
16995,40
17040,197
17142,105
17222,159
17283,46
17296,142
17309,103
17322,49
17352,85
17371,35
17402,47
17418,33
17423,39
17447,39
17484,49
17496,53
17519,50
17556,61
17575,51
17578,382
17582,336
17597,90
17616,41
17640,410
17664,34
17667,54
17680,166
17692,99
17730,95
17826,38
17861,46
17891,44
17892,37
17898,64
17914,93
17983,39
17990,40
18017,67
18021,71
18023,53
