arrival_time,job_size
12,822
13,152
46,24
66,186
69,30
81,83
112,63
115,102
133,50
168,26
172,23
208,21
247,36
293,45
300,256
301,39
314,30
326,26
329,32
364,26
431,36
556,331
582,142
670,28
671,37
681,26
729,58
787,47
789,21
796,36
810,28
885,172
944,54
950,38
958,25
959,304
995,21
1094,150
1162,21
1183,96
1281,149
1283,24
1293,28
1394,29
1546,22
1572,21
1573,70
1574,24
1609,21
1623,139
1630,42
1668,20
1672,21
1673,33
1678,40
1716,24
1781,25
1813,21
1845,365
1899,74
1942,32
2002,24
2003,20
2051,57
2074,83
2103,31
2128,29
2141,22
2185,40
2197,52
2236,44
2310,31
2331,758
2362,45
2369,71
2386,26
2402,44
2444,184
2454,39
2486,32
2492,25
2523,39
2588,30
2602,50
2608,66
2680,25
2697,138
2708,79
2790,33
2796,87
2809,28
2832,189
2847,177
2941,28
2955,29
2956,55
3116,59
3211,65
3217,33
3259,20
3278,37
3350,27
3370,25
3424,57
3456,58
3554,25
3602,45
3648,24
3789,37
3809,24
3814,25
3817,135
3864,20
3938,107
4057,94
4080,24
4131,28
4138,35
4247,21
4249,105
4259,49
4265,39
4368,37
4372,28
4398,32
4406,84
4427,31
4435,21
4436,23
4445,472
4464,30
4530,69
4568,201
4617,31
4650,60
4651,22
4679,43
4715,56
4757,27
4758,44
4759,44
4798,77
4844,20
4863,59
4881,133
4884,93
4891,24
4945,28
4984,29
5066,21
5138,183
5195,38
5242,28
5298,23
5306,37
5343,22
5366,125
5425,910
5569,34
5601,24
5630,22
5661,21
5663,54
5669,23
5737,61
5738,126
5817,35
5826,26
5950,33
5956,83
6007,39
6030,77
6050,667
6081,20
6113,29
6166,52
6209,29
6279,21
6296,35
6367,36
6371,21
6449,114
6463,27
6487,30
6493,68
6568,22
6610,31
6629,171
6652,38
6901,23
6938,88
7000,62
7033,23
7039,22
7054,27
7060,168
7083,57
7104,60
7137,22
7157,84
7176,73
7186,46
7244,53
7289,134
7300,34
7348,38
7377,27
7471,28
7542,56
7556,40
7566,42
7588,115
7605,1210
7681,107
7695,35
7705,39
7788,22
7916,36
7941,152
7962,23
7966,23
7997,34
8051,21
8083,28
8141,23
8217,47
8230,60
8292,49
8416,48
8429,38
8451,21
8485,22
8493,115
8494,56
8514,95
8545,33
8607,23
8632,47
8647,639
8658,27
8660,92
8688,25
8698,120
8722,23
8776,148
8844,29
8865,39
8877,31
8984,36
8990,40
9003,89
9036,40
9072,27
9081,24
9090,38
9131,23
9156,162
9169,27
9230,23
9245,30
9246,82
9277,40
9294,25
9350,33
9358,29
9455,21
9553,28
9554,32
9564,24
9611,31
9659,24
9723,70
9730,29
9749,129
9757,128
9796,22
9824,33
9916,33
9927,26
9970,32
9992,120
10032,26
10040,197
10061,35
10067,672
10126,21
10170,29
10177,65
10255,30
10282,105
10307,27
10339,64
10396,38
10403,49
10404,88
10416,194
10547,27
10564,74
10579,70
10694,25
10717,47
10796,38
10844,130
10860,37
10873,23
10885,76
10891,45
10911,39
10925,72
10946,22
10951,26
10974,78
10983,60
11005,31
11029,47
11076,25
11159,38
11215,1962
11219,22
11232,612
11282,21
11300,26
11351,36
11431,53
11465,26
11466,24
11479,22
11527,27
11614,141
11634,36
11638,55
11645,21
11652,100
11689,26
11723,100
11743,156
11850,24
11869,72
11907,24
11911,30
11964,68
11999,40
12001,24
12020,88
12056,137
12073,152
12103,20
12120,32
12234,36
12242,234
12288,34
12289,301
12328,24
12339,26
12358,41
12390,116
12401,23
12423,47
12478,26
12483,37
12568,45
12640,77
12652,44
12654,22
12695,57
12732,39
12743,69
12765,87
12815,22
12835,43
12863,83
12871,25
12883,34
12953,41
13058,152
13092,23
13110,56
13111,22
13122,26
13145,78
13147,20
13149,235
13198,32
13209,24
13220,30
13243,26
13276,218
13333,34
13340,55
13403,41
13435,47
13460,21
13464,33
13506,24
13560,28
13586,70
13669,20
13692,22
13710,105
13712,44
13741,59
13785,69
13824,88
13837,31
13956,65
13997,56
14061,28
14073,29
14130,36
14146,89
14158,35
14176,28
14187,27
14203,44
14232,31
14242,75
14257,49
14307,22
14398,25
14437,23
14442,26
14480,36
14521,1081
14572,26
14607,45
14669,33
14678,106
14690,78
14753,47
14827,34
14869,30
14896,56
14959,23
14973,30
14992,29
14993,29
15002,23
15078,23
15103,24
15186,24
15212,137
15216,22
15220,28
15233,36
15237,27
15260,162
15284,22
15293,35
15373,190
15388,26
15404,71
15413,246
15415,85
15465,121
15470,21
15498,23
15527,134
15608,48
15625,48
15626,125
15646,39
15688,27
15691,156
15707,55
15741,34
15782,49
15801,26
15804,34
15808,191
15833,44
15861,36
15915,23
15968,31
15990,55
15991,22
15996,21
16013,21
16051,26
16066,473
16085,164
16086,23
16160,26
16231,28
16304,24
16327,46
16364,41
16385,26
16391,450
16444,28
16472,36
16488,44
16538,22
16632,38
16638,22
16708,22
16725,242
16726,97
16787,21
16902,26
17165,108
17175,23
17196,23
17287,33
17315,51
17321,36
17343,59
17376,52
17390,23
17412,24
17516,25
17541,25
17562,50
17598,57
17709,114
17715,24
17732,31
17743,98
17799,25
17800,190
17817,25
17833,121
17860,21
17863,33
17888,21
17934,39
17949,59
17950,44
17981,24
18003,47
18167,1218
18248,59
18265,22
18284,27
18327,68
18341,88
18385,21
18426,192
18447,48
18459,28
18461,54
18468,40
18497,31
18556,36
18575,22
18589,71
18602,141
18629,111
18635,166
18640,149
18707,158
18725,33
18736,21
18753,142
18754,146
18782,189
18788,27
18980,45
19018,31
19052,69
19061,45
19094,85
19096,26
19163,229
19265,277
19342,30
19404,588
19411,95
19447,66
19453,28
19479,22
19491,28
19496,54
19522,123
19549,49
19577,22
19715,21
19753,38
19761,58
19789,74
19792,300
19989,21
20027,24
20057,41
20087,71
20095,46
20224,28
20235,25
20357,34
20361,33
20373,31
20431,209
20434,49
20480,22
20491,76
20499,26
20524,22
20560,23
20601,29
20685,66
20692,24
20711,29
20734,47
20759,1029
20836,34
20837,34
20866,68
20893,26
20923,41
20931,1549
20937,47
21019,47
21048,38
21182,46
21184,665
21227,30
21253,94
21274,22
21294,48
21382,58
21390,31
21465,23
21482,46
21524,47
21550,37
21617,87
21637,22
21653,29
21671,58
21677,52
21678,23
21741,37
21745,34
21822,28
21833,26
21880,95
21950,21
21970,230
21978,145
22018,21
22056,21
22104,30
22112,84
22120,28
22126,25
22196,23
22197,38
22202,42
22223,25
22247,50
22305,141
22306,24
22318,32
22328,285
22333,22
22361,48
22437,46
22496,74
22527,23
22566,24
22574,77
22615,99
22628,40
22629,32
22657,27
22743,37
22797,41
22824,29
22926,51
22943,24
23015,210
23048,46
23060,37
23081,1369
23220,33
23264,22
23280,53
23288,48
23293,21
23312,26
23331,21
23375,26
23380,183
23435,627
23469,46
23514,89
23527,34
23543,26
23595,29
23635,38
23676,27
23681,42
23704,20
23728,3202
23736,38
23738,40
23777,29
23816,140
23864,42
23898,35
23911,27
23975,30
23983,27
23996,23
24009,37
24035,34
24041,276
24130,21
24148,530
24161,86
24194,333
24201,49
24215,21
24247,22
24265,23
24307,24
24333,21
24342,65
24358,24
24411,34
24416,30
24428,32
24434,68
24448,32
24476,24
24493,27
24529,192
24580,25
24591,27
24594,35
24621,24
24635,149
24667,33
24688,41
24706,128
24714,29
24775,29
24779,50
24838,26
24863,184
24881,194
24902,22
24916,20
24965,32
25003,29
25055,117
25068,21
25085,32
25113,28
25131,95
25176,20
25214,29
25220,27
25255,54
25262,772
25311,22
25331,378
25343,38
25356,59
25385,46
25421,32
25427,36
25482,30
25499,27
25504,23
25609,23
25619,31
25627,43
25671,36
25686,23
25687,27
25690,144
25696,21
25708,27
25747,31
25845,43
25849,45
25928,26
25942,91
25970,30
25971,20
25975,20
26001,28
26013,28
26023,51
26159,50
