arrival_rate,RR_L2_Norm,SRPT_L2_Norm,SETF_L2_Norm,FCFS_L2_Norm,RMLF_L2_Norm,DYNAMIC_L2_Norm,RFdynamic_L2_Norm,BAL_L2_Norm
20,77129.9030597083,50685.31686790564,93859.1956603081,146063.66451653882,82310.36822903904,50685.31686790564,100681.23080793163,50597.52305202301
22,908642.6292767691,569186.1960553857,1268649.1981856134,1176392.7593006513,936912.449332914,573196.7644910428,1239104.3360944227,562097.1194980454
24,1203955.234147433,787103.0504463821,1114832.2152445184,680375.4892726516,1202536.20356603,680376.3036753999,696084.0179166592,681026.3343175504
26,711971.0829549188,441955.4911164698,823200.1388921166,696613.6497449644,747278.705149558,441955.4911164698,719788.0277963784,427518.5570451884
28,738102.2516731676,469296.5339558774,1065279.2241436045,1015571.479328757,787290.1770738665,469296.5339558774,1069445.5281686862,448312.6241898615
30,399447.6195410357,252889.9617778452,509564.19532773294,627894.6184042351,399953.60440181056,257085.6753788511,442092.5794570635,248185.09349072518
32,419255.72606703895,267552.64341994456,548162.1741182074,687936.6699442617,444547.8836334732,270737.4476684007,750005.5971651145,260690.32716040695
34,292916.4253229921,189475.7191436412,360634.4587126971,498595.1386606171,315358.63687554206,189783.52067026263,337745.7522856505,187202.67631099722
36,373581.88858936937,249480.9503910068,685222.6202388535,1182066.2453289155,416627.9625949271,249900.6748790407,629680.8266590305,241749.04579956463
38,777313.7991493526,612170.4382163517,978490.5207880146,422696.6520650477,933773.4261709314,422697.113832115,431740.0061576411,424039.50764404016
40,696834.2602010897,565141.0836357591,950371.4812145827,377657.05366377044,884057.1096292365,377659.1013864223,385727.56009520503,379684.80494352157
