arrival_rate,RR_L2_Norm,SRPT_L2_Norm,SETF_L2_Norm,FCFS_L2_Norm,RMLF_L2_Norm
20,1209524.315615854,143665.45608809378,433917.9923798966,868815.7274710214,226191.59638235898
22,697688.6073335295,110018.82370758196,205018.80282549697,317978.20931000914,180896.5796111137
24,676330.3404328391,84229.29936192038,174505.41123988104,235705.3466067327,141930.7156538006
26,873865.069249252,73440.46654263574,159998.85954906052,396187.07580762904,121425.77992749316
28,672716.0476664727,41634.31725151741,73379.73832741569,141480.2235437872,76014.64972622054
30,721037.2737709195,69286.3458193604,127351.13314768739,163881.8425329664,114764.18054427959
32,1368833.259655463,73424.678678221,134628.6898213007,828100.1251038427,97856.4354501021
34,775621.686282043,44944.69786304053,72758.38196386723,144895.1182269437,65091.468465537015
36,1067307.634638205,46593.207187314336,50726.786030656425,436767.57358004496,50596.82957458896
38,696545.8270659584,9231.072039584567,17035.556404180054,16962.40519501878,14725.999117207633
40,741923.2958190489,11812.028360954777,14797.179528545297,36751.68051939938,15602.879702157548
