arrival_rate,bp_parameter,Rdynamic_sqrt_2_L2,Rdynamic_sqrt_6_L2,Rdynamic_sqrt_8_L2,Rdynamic_sqrt_10_L2,Dynamic_L2,RR_L2_Norm,SRPT_L2_Norm,SETF_L2_Norm,FCFS_L2_Norm,RMLF_L2_Norm,Rdynamic_sqrt_2_status,Rdynamic_sqrt_6_status,Rdynamic_sqrt_8_status,Rdynamic_sqrt_10_status,Dynamic_status,RMLF/FCFS_ratio,Rdynamic_sqrt_2/RR_ratio,Rdynamic_sqrt_2/SRPT_ratio,Rdynamic_sqrt_2/SETF_ratio,Rdynamic_sqrt_2/FCFS_ratio,Rdynamic_sqrt_2/RMLF_ratio,Rdynamic_sqrt_2/Dynamic_ratio,Rdynamic_sqrt_6/RR_ratio,Rdynamic_sqrt_6/SRPT_ratio,Rdynamic_sqrt_6/SETF_ratio,Rdynamic_sqrt_6/FCFS_ratio,Rdynamic_sqrt_6/RMLF_ratio,Rdynamic_sqrt_6/Dynamic_ratio,Rdynamic_sqrt_8/RR_ratio,Rdynamic_sqrt_8/SRPT_ratio,Rdynamic_sqrt_8/SETF_ratio,Rdynamic_sqrt_8/FCFS_ratio,Rdynamic_sqrt_8/RMLF_ratio,Rdynamic_sqrt_8/Dynamic_ratio,Rdynamic_sqrt_10/RR_ratio,Rdynamic_sqrt_10/SRPT_ratio,Rdynamic_sqrt_10/SETF_ratio,Rdynamic_sqrt_10/FCFS_ratio,Rdynamic_sqrt_10/RMLF_ratio,Rdynamic_sqrt_10/Dynamic_ratio,Dynamic/SRPT_ratio,Rdynamic_sqrt_2/Rdynamic_sqrt_6_ratio,Rdynamic_sqrt_2/Rdynamic_sqrt_8_ratio,Rdynamic_sqrt_2/Rdynamic_sqrt_10_ratio,Rdynamic_sqrt_6/Rdynamic_sqrt_8_ratio,Rdynamic_sqrt_6/Rdynamic_sqrt_10_ratio,Rdynamic_sqrt_8/Rdynamic_sqrt_10_ratio,Rdynamic_sqrt_2_checkpoint,Rdynamic_sqrt_6_checkpoint,Rdynamic_sqrt_8_checkpoint,Rdynamic_sqrt_10_checkpoint,Dynamic_checkpoint,run_timestamp
20.0,,736477.8729805804,789085.1390002222,746422.9754281415,713429.4726810773,561696.7586206992,516763.6090002856,318987.06207148905,699578.8600100778,679832.5700016144,539465.5385295709,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,0.793527057005065,1.4251736386881944,2.308801705617535,1.0527446083347503,1.0833224318435222,1.3651991098226754,1.3111663218229588,1.5269750525327452,2.473721454017399,1.1279430870579121,1.1607051115517286,1.462716490011657,1.4048240921629978,1.4444186131297976,2.3399788398341332,1.0669604502019814,1.0979511844017256,1.3836342122291583,1.328871787085002,1.3805722002392065,2.2365467365607095,1.019798500873511,1.0494193778909169,1.3224746007422132,1.270132792706464,1.76087630317375,0.9333313182322814,0.9866763178855036,1.0323064874414103,1.0571554801720968,1.1060450531078145,1.0462463411037313,80,30,60,100,100,20250506211103
22.0,,1114392.1367099644,1118979.7127986727,1102014.4935299172,1077668.8090183365,1024097.0497189219,1324002.64796563,793436.3946820186,1316922.9995702102,1059560.5677576908,1301507.0449574986,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,1.2283460564334046,0.8416842205128982,1.404513511327614,0.846209032019075,1.0517493483815763,0.8562321203158416,1.0881704395260443,0.8451491502060202,1.4102954191395776,0.849692588833107,1.0560790452656506,0.8597569387995234,1.0926500697426995,0.8323355661132519,1.3889134666825638,0.8368101201737457,1.0400674836947454,0.8467218812218601,1.0760840428476783,0.8139476236503054,1.3582296151794604,0.8183233259424002,1.01709033141821,0.8280161165424412,1.0523112133895105,1.2907109587900163,0.995900215136846,1.011231833385784,1.0340766359611722,1.0153947333436726,1.038333580256412,1.0225910635139914,80,30,60,100,100,20250506211103
24.0,,668523.8159751678,669452.2462864696,676807.53268119,653571.1690611818,385550.0671728641,629993.7120321123,385550.0671728641,750084.2238062336,628006.7099139944,666052.2657945096,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,1.060581448064027,1.0611595055747025,1.7339481247591908,0.89126500032597,1.0645169954740168,1.0037107450985248,1.7339481247591908,1.0626332191905212,1.7363561915457169,0.8925027684083203,1.0659953718936397,1.0051046752132948,1.7363561915457169,1.0743083934886821,1.75543357479883,0.9023087157423365,1.0777074862366978,1.0161477821471725,1.75543357479883,1.0374249085010991,1.6951654913553642,0.8713303764005259,1.0407073025552362,0.9812610850915139,1.6951654913553642,1.0,0.998613149307584,0.9877606020825359,1.0228783759471285,0.9891323810100308,1.0242989256213675,1.0355529202020735,80,30,60,100,100,20250506211103
26.0,,1204893.9651064735,1212070.1923646997,1195799.6279481775,1171379.6602336068,810468.9324853853,1315662.3681267926,810468.9324853853,1450346.039381292,1156221.6115334465,1390787.2625976987,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,1.2028725710749846,0.9158078807270073,1.486662741545865,0.8307630954199546,1.0420960420454994,0.8663395168402567,1.486662741545865,0.921262340345278,1.4955171552939892,0.8357110368514267,1.0483026612495019,0.8714993478591448,1.4955171552939892,0.9088955167507963,1.475441661016094,0.8244926351909078,1.0342304762512098,0.8598005317611802,1.475441661016094,0.8903345482940187,1.445310996241956,0.8076552963410785,1.0131099856195016,0.8422421543074211,1.445310996241956,1.0,0.9940793633046733,1.0076052349789577,1.0286109670592907,1.013606430405435,1.0347372705131128,1.0208471843447415,80,30,60,100,100,20250506211103
28.0,,1098168.1738640945,1125359.2915753617,1122076.545987394,1111021.5229742401,586298.9798694861,942959.8227671208,586298.9798694861,1198745.4148158398,1043259.6304913748,1007441.077016914,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,0.9656666927123498,1.1645969927345514,1.8730514832356588,0.9160979139451417,1.0526317148367543,1.0900569759532024,1.8730514832356588,1.1934329166570308,1.919429045955144,0.9387808934795782,1.0786953301790447,1.1170472569051977,1.919429045955144,1.18995159591705,1.913829947712301,0.9360424091046685,1.075548706374171,1.1137887580581105,1.913829947712301,1.1782278482596866,1.8949743409438657,0.9268202482717512,1.0649520891083935,1.1028153887312528,1.8949743409438657,1.0,0.9758378342678425,0.9786927440834611,0.9884310530045027,1.0029255986142007,1.0129050322650266,1.0099503229996474,80,30,60,100,100,20250506211103
30.0,,18907.349814291796,18566.006921252614,18328.588516304248,18282.80878311645,14952.00819288165,20402.561040222376,20366.113178512976,46867.33717633209,34914.18886355517,30939.97666450316,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,0.8861720026037765,0.9267145324068452,0.9283730110190966,0.4034227449952068,0.5415377080126883,0.6110977399664246,1.2645358115368879,0.9099841380036011,0.9116126753552788,0.39613957267084526,0.5317610841199452,0.6000653175201983,1.2417065775881206,0.8983474417829497,0.8999551537227832,0.39107381858169976,0.5249610291086086,0.5923918015533698,1.2258278807678904,0.8961036189071084,0.8977073152281951,0.39009702459369144,0.5236498219840008,0.5909121710518923,1.2227661025373517,0.7341611068260481,1.0183853692658298,1.031576970450982,1.0341600154869033,1.0129534472737587,1.0154898594354764,1.0025039770273194,80,30,60,100,100,20250506211103
32.0,,162663.2769312115,193155.16661223432,155175.066582876,155124.92975018555,90278.15833854831,133875.08823153022,90278.15833854832,288030.7571111113,345950.57649034203,158714.83363567502,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,0.45877892514541274,1.2150376823647246,1.8018010106189228,0.5647427329035635,0.4701922412774259,1.0248775946462572,1.801801010618923,1.4428014140926817,2.139555903299348,0.670606044123692,0.5583316801254894,1.2169950482109064,2.1395559032993483,1.1591033748900956,1.718855030260592,0.5387447789925274,0.44854692296547755,0.9776973142855415,1.7188550302605923,1.1587288703175664,1.7182996707626452,0.5385707113575522,0.448401998123325,0.9773814217407681,1.7182996707626457,0.9999999999999999,0.8421378510561079,1.0482565305962745,1.0485953301842958,1.2447564603368408,1.2451587692790125,1.0003232029356672,80,30,60,100,100,20250506211103
34.0,,66574.21055483872,67445.81490352089,69691.59770732767,72787.1949933503,42092.51480964282,55735.89463711873,42119.55837850155,88326.90247031195,290881.36910947046,60418.93897611907,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,0.20770989617207478,1.1944584542561902,1.580600868522382,0.7537251810366082,0.2288706587109886,1.1018765255237692,1.581616371839762,1.2100965695920425,1.6012944460962402,0.7635931184860749,0.23186708420001384,1.1163025376890388,1.6023232446085636,1.2503898638583042,1.6546136851923714,0.7890189258108774,0.23958769831387824,1.1534727171371493,1.6556767402113566,1.3059303249234262,1.7281091681745167,0.8240659748915707,0.2502298281123585,1.204708262455914,1.729219442518929,0.999357933228651,0.9870769691206345,0.9552688235735313,0.914641793256641,0.9677754151477769,0.9266164867279555,0.9574705786326092,80,30,60,100,100,20250506211103
36.0,,379066.8170679148,388817.3582094812,385386.166888486,382903.66666434525,250046.87325179653,411708.1898383854,250046.87325179653,456199.6732122898,359676.26201627485,422515.3139591511,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,1.1747100339361092,0.9207172128801134,1.5159830320541363,0.8309230350796817,1.0539111337037932,0.8971670482565351,1.5159830320541363,0.9444003490970391,1.5549778853580911,0.8522964417568692,1.0810203487709948,0.9202444156783206,1.5549778853580911,0.9360663120152358,1.5412556928892416,0.8447751927896469,1.0714806830122356,0.9121235471378565,1.5412556928892416,0.9300365552957611,1.5313275534493977,0.8393334961600538,1.0645786422430608,0.9062480199270706,1.5313275534493977,1.0,0.9749225672781998,0.9836025515093287,0.989979595573333,1.0089032550096382,1.0154443325044467,1.006483354536056,80,30,60,100,100,20250506211103
38.0,,668692.1432303508,670752.2346686592,676535.500233358,664672.7622868264,391553.4748575219,630294.1647397666,441149.6818801981,989487.0543513948,619274.4667786651,783291.8163449686,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,1.2648540483503012,1.060920726604597,1.5157942319721445,0.675796757814761,1.0797993121026708,0.8536947907238863,1.7077926417934968,1.064189186878474,1.52046405612237,0.6778787369869481,1.0831259330903316,0.8563248340810623,1.7130539702469296,1.0733646891887114,1.5335735874271423,0.6837234476774682,1.0924647091499715,0.8637081176083752,1.7278240232181188,1.0545437344501736,1.5066830819280288,0.6717346723879243,1.0733088443712424,0.848563394149006,1.6975274259248674,0.8875751041884579,0.996928684942323,0.9884065847242284,1.006047157596312,0.9914516450907542,1.0091465646356805,1.017847486191126,80,30,60,100,100,20250506211103
